




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
glycerolipid biosynthetic process (GO:0045017)	167	70	44.17	+	1.58	1.89E-04
cellular response to insulin stimulus (GO:0032869)	129	54	34.12	+	1.58	9.69E-04
regulation of T cell apoptotic process (GO:0070232)	43	18	11.37	+	1.58	4.18E-02
positive regulation of dendrite morphogenesis (GO:0050775)	55	23	14.55	+	1.58	2.43E-02
negative regulation of RNA catabolic process (GO:1902369)	67	28	17.72	+	1.58	1.43E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	103	43	27.24	+	1.58	3.10E-03
positive regulation of protein secretion (GO:0050714)	151	63	39.94	+	1.58	4.27E-04
regulation of actin cytoskeleton reorganization (GO:2000249)	36	15	9.52	+	1.58	6.07E-02
mitochondrial RNA metabolic process (GO:0000959)	36	15	9.52	+	1.58	6.07E-02
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	36	15	9.52	+	1.58	6.07E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	180	75	47.61	+	1.58	1.37E-04
sphingolipid biosynthetic process (GO:0030148)	72	30	19.04	+	1.58	1.20E-02
dendritic spine organization (GO:0097061)	36	15	9.52	+	1.58	6.07E-02
foregut morphogenesis (GO:0007440)	12	5	3.17	+	1.58	2.15E-01
positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	12	5	3.17	+	1.58	2.15E-01
regulation of T-helper 1 cell differentiation (GO:0045625)	12	5	3.17	+	1.58	2.15E-01
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	12	5	3.17	+	1.58	2.15E-01
protein activation cascade (GO:0072376)	12	5	3.17	+	1.58	2.15E-01
regulation of Fc receptor mediated stimulatory signaling pathway (GO:0060368)	12	5	3.17	+	1.58	2.15E-01
regulation of receptor localization to synapse (GO:1902683)	24	10	6.35	+	1.58	1.10E-01
positive regulation of biomineralization (GO:0110151)	48	20	12.70	+	1.58	3.48E-02
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	60	25	15.87	+	1.58	2.03E-02
T cell mediated cytotoxicity (GO:0001913)	12	5	3.17	+	1.58	2.15E-01
regulation of receptor catabolic process (GO:2000644)	12	5	3.17	+	1.58	2.15E-01
regulation of protein localization to synapse (GO:1902473)	24	10	6.35	+	1.58	1.10E-01
positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034)	12	5	3.17	+	1.58	2.15E-01
regulation of exit from mitosis (GO:0007096)	12	5	3.17	+	1.58	2.15E-01
membrane hyperpolarization (GO:0060081)	12	5	3.17	+	1.58	2.15E-01
L-glutamate import (GO:0051938)	12	5	3.17	+	1.58	2.15E-01
negative regulation by host of viral process (GO:0044793)	12	5	3.17	+	1.58	2.15E-01
nodal signaling pathway (GO:0038092)	12	5	3.17	+	1.58	2.15E-01
UV-damage excision repair (GO:0070914)	12	5	3.17	+	1.58	2.15E-01
cellular response to ATP (GO:0071318)	12	5	3.17	+	1.58	2.15E-01
glycosyl compound catabolic process (GO:1901658)	24	10	6.35	+	1.58	1.10E-01
peripheral nervous system neuron development (GO:0048935)	12	5	3.17	+	1.58	2.15E-01
peripheral nervous system neuron differentiation (GO:0048934)	12	5	3.17	+	1.58	2.15E-01
endosome to plasma membrane protein transport (GO:0099638)	12	5	3.17	+	1.58	2.15E-01
microvillus organization (GO:0032528)	12	5	3.17	+	1.58	2.15E-01
detection of molecule of bacterial origin (GO:0032490)	12	5	3.17	+	1.58	2.15E-01
positive regulation of neurotransmitter transport (GO:0051590)	24	10	6.35	+	1.58	1.10E-01
regulation of chromatin silencing (GO:0031935)	12	5	3.17	+	1.58	2.15E-01
regulation of cholesterol transport (GO:0032374)	60	25	15.87	+	1.58	2.03E-02
regulation of sterol transport (GO:0032371)	60	25	15.87	+	1.58	2.03E-02
nuclear mRNA surveillance (GO:0071028)	12	5	3.17	+	1.58	2.15E-01
nuclear RNA surveillance (GO:0071027)	12	5	3.17	+	1.58	2.15E-01
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	12	5	3.17	+	1.58	2.15E-01
regulation of protein deubiquitination (GO:0090085)	12	5	3.17	+	1.58	2.15E-01
positive regulation of vacuole organization (GO:0044090)	12	5	3.17	+	1.58	2.15E-01
synaptic vesicle recycling (GO:0036465)	60	25	15.87	+	1.58	2.03E-02
chondrocyte proliferation (GO:0035988)	12	5	3.17	+	1.58	2.15E-01
regulation of synaptic vesicle cycle (GO:0098693)	12	5	3.17	+	1.58	2.15E-01
positive regulation of establishment of protein localization (GO:1904951)	312	130	82.53	+	1.58	6.65E-07
sodium ion export across plasma membrane (GO:0036376)	12	5	3.17	+	1.58	2.15E-01
Golgi inheritance (GO:0048313)	12	5	3.17	+	1.58	2.15E-01
intracellular distribution of mitochondria (GO:0048312)	12	5	3.17	+	1.58	2.15E-01
organelle inheritance (GO:0048308)	12	5	3.17	+	1.58	2.15E-01
pigment accumulation (GO:0043476)	12	5	3.17	+	1.58	2.15E-01
regulation of renal sodium excretion (GO:0035813)	24	10	6.35	+	1.58	1.10E-01
allantoin metabolic process (GO:0000255)	12	5	3.17	+	1.58	2.15E-01
positive regulation of vesicle fusion (GO:0031340)	12	5	3.17	+	1.58	2.15E-01
regulation of RNA binding (GO:1905214)	12	5	3.17	+	1.58	2.15E-01
NAD biosynthetic process (GO:0009435)	12	5	3.17	+	1.58	2.15E-01
establishment of protein localization to plasma membrane (GO:0061951)	48	20	12.70	+	1.58	3.48E-02
mRNA transcription by RNA polymerase II (GO:0042789)	12	5	3.17	+	1.58	2.15E-01
purinergic nucleotide receptor signaling pathway (GO:0035590)	12	5	3.17	+	1.58	2.15E-01
autophagosome assembly (GO:0000045)	60	25	15.87	+	1.58	2.03E-02
sno(s)RNA processing (GO:0043144)	12	5	3.17	+	1.58	2.15E-01
regulation of metallopeptidase activity (GO:1905048)	12	5	3.17	+	1.58	2.15E-01
anagen (GO:0042640)	12	5	3.17	+	1.58	2.15E-01
vitamin biosynthetic process (GO:0009110)	12	5	3.17	+	1.58	2.15E-01
regulation of eating behavior (GO:1903998)	12	5	3.17	+	1.58	2.15E-01
glycolytic process through fructose-6-phosphate (GO:0061615)	12	5	3.17	+	1.58	2.15E-01
C4-dicarboxylate transport (GO:0015740)	24	10	6.35	+	1.58	1.10E-01
aspartate family amino acid catabolic process (GO:0009068)	12	5	3.17	+	1.58	2.15E-01
carbohydrate phosphorylation (GO:0046835)	12	5	3.17	+	1.58	2.15E-01
ribonucleoside catabolic process (GO:0042454)	12	5	3.17	+	1.58	2.15E-01
positive regulation of macrophage cytokine production (GO:0060907)	12	5	3.17	+	1.58	2.15E-01
megakaryocyte differentiation (GO:0030219)	24	10	6.35	+	1.58	1.10E-01
regulation of mitochondrial fusion (GO:0010635)	12	5	3.17	+	1.58	2.15E-01
regulation of epithelial cell migration (GO:0010632)	228	95	60.31	+	1.58	1.96E-05
negative regulation of sprouting angiogenesis (GO:1903671)	12	5	3.17	+	1.58	2.15E-01
sphingoid biosynthetic process (GO:0046520)	12	5	3.17	+	1.58	2.15E-01
sphingosine biosynthetic process (GO:0046512)	12	5	3.17	+	1.58	2.15E-01
monoacylglycerol metabolic process (GO:0046462)	12	5	3.17	+	1.58	2.15E-01
artery smooth muscle contraction (GO:0014824)	12	5	3.17	+	1.58	2.15E-01
centriole-centriole cohesion (GO:0010457)	12	5	3.17	+	1.58	2.15E-01
positive regulation of vasoconstriction (GO:0045907)	48	20	12.70	+	1.58	3.48E-02
adherens junction assembly (GO:0034333)	12	5	3.17	+	1.58	2.15E-01
negative regulation of muscle adaptation (GO:0014745)	12	5	3.17	+	1.58	2.15E-01
prostate glandular acinus development (GO:0060525)	12	5	3.17	+	1.58	2.15E-01
dendrite development (GO:0016358)	137	57	36.24	+	1.57	8.22E-04
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	113	47	29.89	+	1.57	2.22E-03
organic acid transmembrane transport (GO:1903825)	113	47	29.89	+	1.57	2.22E-03
vascular process in circulatory system (GO:0003018)	219	91	57.93	+	1.57	3.18E-05
regulation of hemostasis (GO:1900046)	65	27	17.19	+	1.57	1.70E-02
regulation of receptor-mediated endocytosis (GO:0048259)	118	49	31.21	+	1.57	1.88E-03
regulation of collagen metabolic process (GO:0010712)	53	22	14.02	+	1.57	2.90E-02
small molecule catabolic process (GO:0044282)	282	117	74.59	+	1.57	2.83E-06
organophosphate catabolic process (GO:0046434)	135	56	35.71	+	1.57	9.69E-04
cellular response to amino acid starvation (GO:0034198)	41	17	10.84	+	1.57	5.02E-02
endocrine pancreas development (GO:0031018)	41	17	10.84	+	1.57	5.02E-02
vacuole organization (GO:0007033)	140	58	37.03	+	1.57	8.21E-04
glycosyl compound metabolic process (GO:1901657)	70	29	18.52	+	1.57	1.43E-02
nephron development (GO:0072006)	128	53	33.86	+	1.57	1.35E-03
acetylcholine receptor signaling pathway (GO:0095500)	29	12	7.67	+	1.56	8.95E-02
positive regulation of triglyceride metabolic process (GO:0090208)	29	12	7.67	+	1.56	8.95E-02
nucleotide catabolic process (GO:0009166)	58	24	15.34	+	1.56	2.42E-02
nucleobase metabolic process (GO:0009112)	29	12	7.67	+	1.56	8.95E-02
regulation of anion transmembrane transport (GO:1903959)	29	12	7.67	+	1.56	8.95E-02
acid secretion (GO:0046717)	29	12	7.67	+	1.56	8.95E-02
programmed necrotic cell death (GO:0097300)	29	12	7.67	+	1.56	8.95E-02
axo-dendritic transport (GO:0008088)	75	31	19.84	+	1.56	1.20E-02
organic anion transport (GO:0015711)	271	112	71.68	+	1.56	5.37E-06
negative regulation of stress-activated MAPK cascade (GO:0032873)	46	19	12.17	+	1.56	4.17E-02
negative regulation of coagulation (GO:0050819)	46	19	12.17	+	1.56	4.17E-02
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	46	19	12.17	+	1.56	4.17E-02
neuron death (GO:0070997)	63	26	16.66	+	1.56	2.03E-02
water homeostasis (GO:0030104)	63	26	16.66	+	1.56	2.03E-02
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	97	40	25.66	+	1.56	5.11E-03
response to decreased oxygen levels (GO:0036293)	194	80	51.31	+	1.56	1.15E-04
response to oxygen levels (GO:0070482)	211	87	55.81	+	1.56	6.04E-05
cellular response to external stimulus (GO:0071496)	233	96	61.63	+	1.56	2.69E-05
positive regulation of receptor recycling (GO:0001921)	17	7	4.50	+	1.56	1.68E-01
natural killer cell mediated immunity (GO:0002228)	17	7	4.50	+	1.56	1.68E-01
viral genome replication (GO:0019079)	17	7	4.50	+	1.56	1.68E-01
epithelial cell maturation (GO:0002070)	17	7	4.50	+	1.56	1.68E-01
diet induced thermogenesis (GO:0002024)	17	7	4.50	+	1.56	1.68E-01
response to dietary excess (GO:0002021)	34	14	8.99	+	1.56	7.33E-02
V(D)J recombination (GO:0033151)	17	7	4.50	+	1.56	1.68E-01
establishment of vesicle localization (GO:0051650)	136	56	35.97	+	1.56	1.14E-03
positive regulation of leukocyte apoptotic process (GO:2000108)	34	14	8.99	+	1.56	7.33E-02
regulation of prostaglandin secretion (GO:0032306)	17	7	4.50	+	1.56	1.68E-01
regulation of potassium ion transmembrane transport (GO:1901379)	85	35	22.48	+	1.56	8.50E-03
synaptic vesicle membrane organization (GO:0048499)	17	7	4.50	+	1.56	1.68E-01
chaperone-mediated protein complex assembly (GO:0051131)	17	7	4.50	+	1.56	1.68E-01
positive regulation of purine nucleotide biosynthetic process (GO:1900373)	17	7	4.50	+	1.56	1.68E-01
positive regulation of nucleotide biosynthetic process (GO:0030810)	17	7	4.50	+	1.56	1.68E-01
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	34	14	8.99	+	1.56	7.33E-02
regulation of macrophage cytokine production (GO:0010935)	17	7	4.50	+	1.56	1.68E-01
regulation of hippo signaling (GO:0035330)	17	7	4.50	+	1.56	1.68E-01
membrane repolarization (GO:0086009)	17	7	4.50	+	1.56	1.68E-01
negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	17	7	4.50	+	1.56	1.68E-01
protein import into mitochondrial matrix (GO:0030150)	17	7	4.50	+	1.56	1.68E-01
ether lipid metabolic process (GO:0046485)	17	7	4.50	+	1.56	1.68E-01
postsynaptic density organization (GO:0097106)	17	7	4.50	+	1.56	1.68E-01
nitric oxide metabolic process (GO:0046209)	17	7	4.50	+	1.56	1.68E-01
regulation of triglyceride metabolic process (GO:0090207)	51	21	13.49	+	1.56	3.47E-02
neuron apoptotic process (GO:0051402)	51	21	13.49	+	1.56	3.47E-02
regulation of protein import into nucleus (GO:0042306)	73	30	19.31	+	1.55	1.42E-02
glycerophospholipid biosynthetic process (GO:0046474)	146	60	38.62	+	1.55	8.17E-04
Rho protein signal transduction (GO:0007266)	56	23	14.81	+	1.55	2.89E-02
one-carbon metabolic process (GO:0006730)	39	16	10.32	+	1.55	6.04E-02
cellular response to glucocorticoid stimulus (GO:0071385)	39	16	10.32	+	1.55	6.04E-02
tRNA aminoacylation (GO:0043039)	39	16	10.32	+	1.55	6.04E-02
response to osmotic stress (GO:0006970)	61	25	16.13	+	1.55	2.41E-02
cellular response to ionizing radiation (GO:0071479)	61	25	16.13	+	1.55	2.41E-02
vasculogenesis (GO:0001570)	83	34	21.95	+	1.55	1.01E-02
regulation of phosphatase activity (GO:0010921)	83	34	21.95	+	1.55	1.01E-02
organic acid catabolic process (GO:0016054)	188	77	49.73	+	1.55	1.87E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	127	52	33.59	+	1.55	1.86E-03
regulation of T cell migration (GO:2000404)	44	18	11.64	+	1.55	4.99E-02
transcription by RNA polymerase III (GO:0006383)	22	9	5.82	+	1.55	1.35E-01
cellular response to corticosteroid stimulus (GO:0071384)	44	18	11.64	+	1.55	4.99E-02
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	22	9	5.82	+	1.55	1.35E-01
postreplication repair (GO:0006301)	22	9	5.82	+	1.55	1.35E-01
DNA replication initiation (GO:0006270)	22	9	5.82	+	1.55	1.35E-01
regulation of protein autophosphorylation (GO:0031952)	44	18	11.64	+	1.55	4.99E-02
regulation of spindle assembly (GO:0090169)	22	9	5.82	+	1.55	1.35E-01
activation of protein kinase B activity (GO:0032148)	22	9	5.82	+	1.55	1.35E-01
regulation of glucose transmembrane transport (GO:0010827)	88	36	23.28	+	1.55	8.46E-03
regulation of catecholamine metabolic process (GO:0042069)	22	9	5.82	+	1.55	1.35E-01
positive regulation of isotype switching (GO:0045830)	22	9	5.82	+	1.55	1.35E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	120	49	31.74	+	1.54	2.59E-03
regulation of DNA-templated transcription, initiation (GO:2000142)	49	20	12.96	+	1.54	4.14E-02
regulation of centrosome cycle (GO:0046605)	49	20	12.96	+	1.54	4.14E-02
regulation of osteoblast proliferation (GO:0033688)	27	11	7.14	+	1.54	1.09E-01
regulation of sodium ion transmembrane transporter activity (GO:2000649)	54	22	14.28	+	1.54	3.44E-02
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	27	11	7.14	+	1.54	1.09E-01
negative regulation of axon extension involved in axon guidance (GO:0048843)	27	11	7.14	+	1.54	1.09E-01
RNA stabilization (GO:0043489)	54	22	14.28	+	1.54	3.44E-02
negative regulation of receptor-mediated endocytosis (GO:0048261)	27	11	7.14	+	1.54	1.09E-01
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	27	11	7.14	+	1.54	1.09E-01
negative regulation of protein localization to cell periphery (GO:1904376)	27	11	7.14	+	1.54	1.09E-01
regulation of smooth muscle cell apoptotic process (GO:0034391)	27	11	7.14	+	1.54	1.09E-01
regulation of vasoconstriction (GO:0019229)	81	33	21.43	+	1.54	1.19E-02
cellular response to nutrient levels (GO:0031669)	172	70	45.50	+	1.54	4.18E-04
negative regulation of cell-substrate adhesion (GO:0010812)	59	24	15.61	+	1.54	2.87E-02
negative regulation of cellular protein localization (GO:1903828)	118	48	31.21	+	1.54	3.05E-03
regulation of sodium ion transmembrane transport (GO:1902305)	64	26	16.93	+	1.54	2.39E-02
regulation of transcription by RNA polymerase I (GO:0006356)	32	13	8.46	+	1.54	8.86E-02
quinone metabolic process (GO:1901661)	32	13	8.46	+	1.54	8.86E-02
response to acid chemical (GO:0001101)	96	39	25.39	+	1.54	7.08E-03
coronary vasculature morphogenesis (GO:0060977)	32	13	8.46	+	1.54	8.86E-02
negative regulation of cardiac muscle cell apoptotic process (GO:0010667)	32	13	8.46	+	1.54	8.86E-02
erythrocyte differentiation (GO:0030218)	96	39	25.39	+	1.54	7.08E-03
regulation of cold-induced thermogenesis (GO:0120161)	143	58	37.82	+	1.53	1.32E-03
cerebral cortex radially oriented cell migration (GO:0021799)	37	15	9.79	+	1.53	7.26E-02
tRNA aminoacylation for protein translation (GO:0006418)	37	15	9.79	+	1.53	7.26E-02
positive regulation of cholesterol transport (GO:0032376)	37	15	9.79	+	1.53	7.26E-02
positive regulation of sterol transport (GO:0032373)	37	15	9.79	+	1.53	7.26E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	111	45	29.36	+	1.53	4.24E-03
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	37	15	9.79	+	1.53	7.26E-02
positive regulation of muscle cell apoptotic process (GO:0010661)	37	15	9.79	+	1.53	7.26E-02
lamellipodium assembly (GO:0030032)	37	15	9.79	+	1.53	7.26E-02
positive regulation of steroid metabolic process (GO:0045940)	37	15	9.79	+	1.53	7.26E-02
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	116	47	30.68	+	1.53	3.58E-03
protein tetramerization (GO:0051262)	79	32	20.90	+	1.53	1.41E-02
regulation of protein import (GO:1904589)	79	32	20.90	+	1.53	1.41E-02
regulation of dendritic spine development (GO:0060998)	79	32	20.90	+	1.53	1.41E-02
regulation of cellular senescence (GO:2000772)	42	17	11.11	+	1.53	5.98E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	42	17	11.11	+	1.53	5.98E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	84	34	22.22	+	1.53	1.18E-02
positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	42	17	11.11	+	1.53	5.98E-02
developmental pigmentation (GO:0048066)	42	17	11.11	+	1.53	5.98E-02
negative regulation of organ growth (GO:0046621)	42	17	11.11	+	1.53	5.98E-02
sulfur compound transport (GO:0072348)	47	19	12.43	+	1.53	4.95E-02
intracellular protein transmembrane transport (GO:0065002)	47	19	12.43	+	1.53	4.95E-02
neuron projection organization (GO:0106027)	47	19	12.43	+	1.53	4.95E-02
detoxification (GO:0098754)	47	19	12.43	+	1.53	4.95E-02
negative regulation of establishment of protein localization (GO:1904950)	141	57	37.30	+	1.53	1.55E-03
transport along microtubule (GO:0010970)	151	61	39.94	+	1.53	1.11E-03
presynaptic endocytosis (GO:0140238)	52	21	13.75	+	1.53	4.10E-02
synaptic vesicle endocytosis (GO:0048488)	52	21	13.75	+	1.53	4.10E-02
cellular monovalent inorganic cation homeostasis (GO:0030004)	104	42	27.51	+	1.53	5.92E-03
cellular response to amino acid stimulus (GO:0071230)	62	25	16.40	+	1.52	2.84E-02
regulation of toll-like receptor signaling pathway (GO:0034121)	67	27	17.72	+	1.52	2.37E-02
negative regulation of wound healing (GO:0061045)	67	27	17.72	+	1.52	2.37E-02
positive regulation of cellular protein catabolic process (GO:1903364)	139	56	36.77	+	1.52	1.81E-03
alpha-amino acid metabolic process (GO:1901605)	154	62	40.73	+	1.52	1.10E-03
regulation of cellular pH (GO:0030641)	77	31	20.37	+	1.52	1.66E-02
regulation of organic acid transport (GO:0032890)	87	35	23.01	+	1.52	1.17E-02
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	92	37	24.33	+	1.52	9.84E-03
response to hydrogen peroxide (GO:0042542)	92	37	24.33	+	1.52	9.84E-03
erythrocyte homeostasis (GO:0034101)	107	43	28.30	+	1.52	5.87E-03
organic acid transport (GO:0015849)	234	94	61.89	+	1.52	7.84E-05
Golgi vesicle transport (GO:0048193)	244	98	64.54	+	1.52	5.65E-05
regulation of wound healing (GO:0061041)	122	49	32.27	+	1.52	3.52E-03
RNA catabolic process (GO:0006401)	137	55	36.24	+	1.52	2.12E-03
positive regulation of transmembrane transport (GO:0034764)	237	95	62.69	+	1.52	7.76E-05
positive regulation of protein transport (GO:0051222)	297	119	78.56	+	1.51	1.09E-05
positive regulation of gluconeogenesis (GO:0045722)	20	8	5.29	+	1.51	1.65E-01
tryptophan catabolic process to kynurenine (GO:0019441)	5	2	1.32	+	1.51	3.81E-01
lung-associated mesenchyme development (GO:0060484)	10	4	2.65	+	1.51	2.74E-01
regulation of vascular associated smooth muscle contraction (GO:0003056)	10	4	2.65	+	1.51	2.74E-01
somatic diversification of T cell receptor genes (GO:0002568)	5	2	1.32	+	1.51	3.81E-01
histamine secretion by mast cell (GO:0002553)	5	2	1.32	+	1.51	3.81E-01
pinocytosis (GO:0006907)	10	4	2.65	+	1.51	2.74E-01
dolichol metabolic process (GO:0019348)	5	2	1.32	+	1.51	3.81E-01
membrane protein proteolysis (GO:0033619)	35	14	9.26	+	1.51	8.74E-02
zygotic determination of anterior/posterior axis, embryo (GO:0007354)	5	2	1.32	+	1.51	3.81E-01
UMP metabolic process (GO:0046049)	5	2	1.32	+	1.51	3.81E-01
cellular response to epinephrine stimulus (GO:0071872)	10	4	2.65	+	1.51	2.74E-01
response to epinephrine (GO:0071871)	10	4	2.65	+	1.51	2.74E-01
histamine secretion involved in inflammatory response (GO:0002441)	5	2	1.32	+	1.51	3.81E-01
anterior/posterior axon guidance (GO:0033564)	5	2	1.32	+	1.51	3.81E-01
positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	5	2	1.32	+	1.51	3.81E-01
regulation of systemic arterial blood pressure by vasopressin (GO:0001992)	5	2	1.32	+	1.51	3.81E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	10	4	2.65	+	1.51	2.74E-01
glossopharyngeal nerve development (GO:0021563)	5	2	1.32	+	1.51	3.81E-01
spermatogonial cell division (GO:0007284)	5	2	1.32	+	1.51	3.81E-01
positive regulation of response to wounding (GO:1903036)	70	28	18.52	+	1.51	2.35E-02
neuron-neuron synaptic transmission (GO:0007270)	10	4	2.65	+	1.51	2.74E-01
carbohydrate homeostasis (GO:0033500)	190	76	50.26	+	1.51	3.99E-04
negative regulation of cell-matrix adhesion (GO:0001953)	35	14	9.26	+	1.51	8.74E-02
positive regulation of autophagosome assembly (GO:2000786)	10	4	2.65	+	1.51	2.74E-01
endothelial cell proliferation (GO:0001935)	20	8	5.29	+	1.51	1.65E-01
regulation of sarcomere organization (GO:0060297)	10	4	2.65	+	1.51	2.74E-01
regulation of ovulation (GO:0060278)	5	2	1.32	+	1.51	3.81E-01
cellular detoxification of aldehyde (GO:0110095)	10	4	2.65	+	1.51	2.74E-01
steroid catabolic process (GO:0006706)	25	10	6.61	+	1.51	1.32E-01
histamine production involved in inflammatory response (GO:0002349)	5	2	1.32	+	1.51	3.81E-01
response to ether (GO:0045472)	10	4	2.65	+	1.51	2.74E-01
pro-B cell differentiation (GO:0002328)	5	2	1.32	+	1.51	3.81E-01
negative regulation of epithelial cell differentiation involved in kidney development (GO:2000697)	5	2	1.32	+	1.51	3.81E-01
mesangial cell development (GO:0072143)	5	2	1.32	+	1.51	3.81E-01
platelet dense granule organization (GO:0060155)	5	2	1.32	+	1.51	3.81E-01
inositol trisphosphate metabolic process (GO:0032957)	10	4	2.65	+	1.51	2.74E-01
positive regulation of activin receptor signaling pathway (GO:0032927)	10	4	2.65	+	1.51	2.74E-01
glucosylceramide metabolic process (GO:0006678)	5	2	1.32	+	1.51	3.81E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	2	1.32	+	1.51	3.81E-01
regulation of transforming growth factor beta production (GO:0071634)	40	16	10.58	+	1.51	7.17E-02
connective tissue replacement involved in inflammatory response wound healing (GO:0002248)	5	2	1.32	+	1.51	3.81E-01
specification of nephron tubule identity (GO:0072081)	5	2	1.32	+	1.51	3.81E-01
lysosomal transport (GO:0007041)	95	38	25.13	+	1.51	9.74E-03
regulation of platelet-derived growth factor receptor-alpha signaling pathway (GO:2000583)	5	2	1.32	+	1.51	3.81E-01
post-chaperonin tubulin folding pathway (GO:0007023)	5	2	1.32	+	1.51	3.81E-01
proximal/distal pattern formation involved in nephron development (GO:0072047)	5	2	1.32	+	1.51	3.81E-01
neurofilament cytoskeleton organization (GO:0060052)	10	4	2.65	+	1.51	2.74E-01
proximal tubule development (GO:0072014)	5	2	1.32	+	1.51	3.81E-01
mesangial cell differentiation (GO:0072007)	5	2	1.32	+	1.51	3.81E-01
hard palate development (GO:0060022)	10	4	2.65	+	1.51	2.74E-01
lymphocyte aggregation (GO:0071593)	5	2	1.32	+	1.51	3.81E-01
isoleucine catabolic process (GO:0006550)	5	2	1.32	+	1.51	3.81E-01
glutamate catabolic process (GO:0006538)	5	2	1.32	+	1.51	3.81E-01
aspartate metabolic process (GO:0006531)	5	2	1.32	+	1.51	3.81E-01
retinoic acid biosynthetic process (GO:0002138)	10	4	2.65	+	1.51	2.74E-01
response to heparin (GO:0071503)	5	2	1.32	+	1.51	3.81E-01
regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	5	2	1.32	+	1.51	3.81E-01
positive regulation of high voltage-gated calcium channel activity (GO:1901843)	5	2	1.32	+	1.51	3.81E-01
negative regulation of mitochondrial depolarization (GO:0051902)	5	2	1.32	+	1.51	3.81E-01
positive regulation of mitochondrial depolarization (GO:0051901)	10	4	2.65	+	1.51	2.74E-01
regulation of cellular amine metabolic process (GO:0033238)	35	14	9.26	+	1.51	8.74E-02
integrated stress response signaling (GO:0140467)	10	4	2.65	+	1.51	2.74E-01
positive regulation of cAMP-dependent protein kinase activity (GO:2000481)	5	2	1.32	+	1.51	3.81E-01
positive regulation of glycogen (starch) synthase activity (GO:2000467)	5	2	1.32	+	1.51	3.81E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	45	18	11.90	+	1.51	5.91E-02
negative regulation of T cell migration (GO:2000405)	5	2	1.32	+	1.51	3.81E-01
phosphatidylinositol 3-kinase signaling (GO:0014065)	35	14	9.26	+	1.51	8.74E-02
chondrocyte development (GO:0002063)	25	10	6.61	+	1.51	1.32E-01
cell migration involved in sprouting angiogenesis (GO:0002042)	20	8	5.29	+	1.51	1.65E-01
reduction of food intake in response to dietary excess (GO:0002023)	5	2	1.32	+	1.51	3.81E-01
T cell receptor V(D)J recombination (GO:0033153)	5	2	1.32	+	1.51	3.81E-01
CRD-mediated mRNA stabilization (GO:0070934)	5	2	1.32	+	1.51	3.81E-01
lipid import into cell (GO:0140354)	10	4	2.65	+	1.51	2.74E-01
mitochondrial tRNA modification (GO:0070900)	5	2	1.32	+	1.51	3.81E-01
prostaglandin biosynthetic process (GO:0001516)	20	8	5.29	+	1.51	1.65E-01
positive regulation of glucocorticoid receptor signaling pathway (GO:2000324)	5	2	1.32	+	1.51	3.81E-01
regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091)	10	4	2.65	+	1.51	2.74E-01
positive regulation of superoxide dismutase activity (GO:1901671)	5	2	1.32	+	1.51	3.81E-01
negative regulation of immature T cell proliferation (GO:0033087)	5	2	1.32	+	1.51	3.81E-01
