




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3142)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
Golgi calcium ion homeostasis (GO:0032468)	1	1	.68	+	1.48	4.91E-01
phosphatidylcholine catabolic process (GO:0034638)	1	1	.68	+	1.48	4.91E-01
age-dependent response to reactive oxygen species (GO:0001315)	1	1	.68	+	1.48	4.91E-01
fructose import (GO:0032445)	2	2	1.35	+	1.48	3.91E-01
age-dependent response to oxidative stress (GO:0001306)	1	1	.68	+	1.48	4.91E-01
apoptotic nuclear changes (GO:0030262)	2	2	1.35	+	1.48	3.91E-01
peptidyl-proline di-hydroxylation (GO:0018188)	1	1	.68	+	1.48	4.91E-01
regulation of termination of RNA polymerase II transcription (GO:1904594)	1	1	.68	+	1.48	4.91E-01
snRNA modification (GO:0040031)	8	8	5.40	+	1.48	1.79E-01
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	1	.68	+	1.48	4.91E-01
positive regulation of transcription from RNA polymerase II promoter in response to cobalt ion (GO:0061399)	1	1	.68	+	1.48	4.91E-01
negative regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000432)	1	1	.68	+	1.48	4.91E-01
protein nucleotidylation (GO:0018175)	1	1	.68	+	1.48	4.91E-01
negative regulation of mitotic spindle pole body separation (GO:0010697)	2	2	1.35	+	1.48	3.91E-01
RNA acetylation (GO:1990884)	1	1	.68	+	1.48	4.91E-01
rRNA acetylation (GO:1990882)	1	1	.68	+	1.48	4.91E-01
positive regulation of exodeoxyribonuclease activity (GO:1902394)	1	1	.68	+	1.48	4.91E-01
regulation of exodeoxyribonuclease activity (GO:1902392)	1	1	.68	+	1.48	4.91E-01
regulation of transporter activity (GO:0032409)	1	1	.68	+	1.48	4.91E-01
histone H4-K12 acetylation (GO:0043983)	1	1	.68	+	1.48	4.91E-01
histone H4-K8 acetylation (GO:0043982)	1	1	.68	+	1.48	4.91E-01
nucleic acid-protein covalent cross-linking (GO:0018143)	1	1	.68	+	1.48	4.91E-01
histone H4-K5 acetylation (GO:0043981)	1	1	.68	+	1.48	4.91E-01
protein-DNA covalent cross-linking (GO:0018142)	1	1	.68	+	1.48	4.91E-01
positive regulation of single-species biofilm formation (GO:1900192)	1	1	.68	+	1.48	4.91E-01
vacuole-ER tethering (GO:1990854)	1	1	.68	+	1.48	4.91E-01
histone H3-K23 acetylation (GO:0043972)	2	2	1.35	+	1.48	3.91E-01
oxazole or thiazole biosynthetic process (GO:0018131)	1	1	.68	+	1.48	4.91E-01
positive regulation of cell adhesion involved in single-species biofilm formation (GO:1900189)	1	1	.68	+	1.48	4.91E-01
regulation of cell adhesion involved in single-species biofilm formation (GO:1900187)	1	1	.68	+	1.48	4.91E-01
maintenance of vacuolar location (GO:1990849)	1	1	.68	+	1.48	4.91E-01
guanine salvage (GO:0006178)	1	1	.68	+	1.48	4.91E-01
ADP biosynthetic process (GO:0006172)	2	2	1.35	+	1.48	3.91E-01
protein hydroxylation (GO:0018126)	1	1	.68	+	1.48	4.91E-01
oxaloacetate(2-) transmembrane transport (GO:1902356)	2	2	1.35	+	1.48	3.91E-01
adenine salvage (GO:0006168)	2	2	1.35	+	1.48	3.91E-01
positive regulation of microtubule binding (GO:1904528)	1	1	.68	+	1.48	4.91E-01
regulation of microtubule binding (GO:1904526)	1	1	.68	+	1.48	4.91E-01
protein adenylylation (GO:0018117)	1	1	.68	+	1.48	4.91E-01
negative regulation of DNA amplification (GO:1904524)	2	2	1.35	+	1.48	3.91E-01
regulation of DNA amplification (GO:1904523)	2	2	1.35	+	1.48	3.91E-01
negative regulation of mitochondrial fusion (GO:0010637)	1	1	.68	+	1.48	4.91E-01
regulation of actomyosin contractile ring contraction (GO:0031991)	2	2	1.35	+	1.48	3.91E-01
peptidyl-histidine phosphorylation (GO:0018106)	1	1	.68	+	1.48	4.91E-01
negative regulation of transcription by transcription factor localization (GO:0010621)	1	1	.68	+	1.48	4.91E-01
guanine catabolic process (GO:0006147)	1	1	.68	+	1.48	4.91E-01
adenine catabolic process (GO:0006146)	1	1	.68	+	1.48	4.91E-01
regulation of purine nucleobase metabolic process (GO:0006141)	1	1	.68	+	1.48	4.91E-01
G2/MI transition of meiotic cell cycle (GO:0008315)	1	1	.68	+	1.48	4.91E-01
Unclassified (UNCLASSIFIED)	1	1	.68	+	1.48	4.91E-01
mRNA localization resulting in posttranscriptional regulation of gene expression (GO:0010609)	2	2	1.35	+	1.48	3.91E-01
isoprenoid catabolic process (GO:0008300)	1	1	.68	+	1.48	4.91E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	1	1	.68	+	1.48	4.91E-01
axoneme assembly (GO:0035082)	1	1	.68	+	1.48	4.91E-01
glycerol biosynthetic process (GO:0006114)	2	2	1.35	+	1.48	3.91E-01
negative regulation of multi-organism process (GO:0043901)	2	2	1.35	+	1.48	3.91E-01
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	2	2	1.35	+	1.48	3.91E-01
fumarate metabolic process (GO:0006106)	2	2	1.35	+	1.48	3.91E-01
negative regulation of spindle checkpoint (GO:0090233)	1	1	.68	+	1.48	4.91E-01
succinate metabolic process (GO:0006105)	1	1	.68	+	1.48	4.91E-01
succinyl-CoA metabolic process (GO:0006104)	2	2	1.35	+	1.48	3.91E-01
positive regulation of histone acetylation (GO:0035066)	8	8	5.40	+	1.48	1.79E-01
uracil metabolic process (GO:0019860)	1	1	.68	+	1.48	4.91E-01
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220)	2	2	1.35	+	1.48	3.91E-01
cytosine metabolic process (GO:0019858)	2	2	1.35	+	1.48	3.91E-01
pyridoxal phosphate transport (GO:0031921)	1	1	.68	+	1.48	4.91E-01
vitamin B6 transport (GO:0031919)	2	2	1.35	+	1.48	3.91E-01
spindle pole body localization (GO:0070631)	1	1	.68	+	1.48	4.91E-01
regulation of mitochondrial DNA metabolic process (GO:1901858)	1	1	.68	+	1.48	4.91E-01
negative regulation of cellular respiration (GO:1901856)	1	1	.68	+	1.48	4.91E-01
regulation of peroxisome size (GO:0044375)	1	1	.68	+	1.48	4.91E-01
formate catabolic process (GO:0042183)	1	1	.68	+	1.48	4.91E-01
xenobiotic catabolic process (GO:0042178)	1	1	.68	+	1.48	4.91E-01
sphingoid catabolic process (GO:0046521)	1	1	.68	+	1.48	4.91E-01
sphingoid biosynthetic process (GO:0046520)	4	4	2.70	+	1.48	2.86E-01
heme catabolic process (GO:0042167)	1	1	.68	+	1.48	4.91E-01
sphingosine biosynthetic process (GO:0046512)	4	4	2.70	+	1.48	2.86E-01
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	1	1	.68	+	1.48	4.91E-01
lipoprotein catabolic process (GO:0042159)	1	1	.68	+	1.48	4.91E-01
RNA 5'-cap (guanine-N7)-methylation (GO:0106005)	1	1	.68	+	1.48	4.91E-01
tRNA (guanine-N7)-methylation (GO:0106004)	2	2	1.35	+	1.48	3.91E-01
histone H2A-H2B dimer displacement (GO:0001208)	1	1	.68	+	1.48	4.91E-01
protein localization to mitotic actomyosin contractile ring (GO:1904498)	1	1	.68	+	1.48	4.91E-01
mitochondrial unfolded protein response (GO:0034514)	2	2	1.35	+	1.48	3.91E-01
mitochondrial tRNA wobble position uridine thiolation (GO:1990799)	1	1	.68	+	1.48	4.91E-01
spermidine biosynthetic process (GO:0008295)	2	2	1.35	+	1.48	3.91E-01
regulation of septum digestion after cytokinesis (GO:0010590)	1	1	.68	+	1.48	4.91E-01
cell cycle DNA replication maintenance of fidelity (GO:1902298)	1	1	.68	+	1.48	4.91E-01
nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription (GO:0071049)	4	4	2.70	+	1.48	2.86E-01
negative regulation of RNA helicase activity (GO:1902281)	1	1	.68	+	1.48	4.91E-01
regulation of ceramide biosynthetic process (GO:2000303)	2	2	1.35	+	1.48	3.91E-01
negative regulation of cytosolic calcium ion concentration (GO:0051481)	1	1	.68	+	1.48	4.91E-01
nuclear mRNA surveillance of mRNP export (GO:0071032)	1	1	.68	+	1.48	4.91E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	2	2	1.35	+	1.48	3.91E-01
regulation of budding cell apical bud growth (GO:0010568)	1	1	.68	+	1.48	4.91E-01
(R)-carnitine transmembrane transport (GO:1902270)	1	1	.68	+	1.48	4.91E-01
substituted mannan metabolic process (GO:0006080)	1	1	.68	+	1.48	4.91E-01
regulation of arginine catabolic process (GO:1900081)	1	1	.68	+	1.48	4.91E-01
glycerol-3-phosphate metabolic process (GO:0006072)	4	4	2.70	+	1.48	2.86E-01
agglutination involved in conjugation (GO:0000771)	1	1	.68	+	1.48	4.91E-01
regulation of arginine biosynthetic process (GO:1900079)	1	1	.68	+	1.48	4.91E-01
tRNA C5-cytosine methylation (GO:0002946)	1	1	.68	+	1.48	4.91E-01
ethanol oxidation (GO:0006069)	1	1	.68	+	1.48	4.91E-01
positive regulation of sulfite transport (GO:1900072)	1	1	.68	+	1.48	4.91E-01
regulation of sulfite transport (GO:1900071)	1	1	.68	+	1.48	4.91E-01
tRNA N2-guanine methylation (GO:0002940)	1	1	.68	+	1.48	4.91E-01
gamma-tubulin complex localization to mitotic spindle pole body (GO:1990735)	1	1	.68	+	1.48	4.91E-01
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	4	4	2.70	+	1.48	2.86E-01
N-terminal peptidyl-proline dimethylation (GO:0018016)	1	1	.68	+	1.48	4.91E-01
N-terminal peptidyl-glycine methylation (GO:0018013)	1	1	.68	+	1.48	4.91E-01
tRNA N1-guanine methylation (GO:0002939)	1	1	.68	+	1.48	4.91E-01
positive regulation of transposition (GO:0010530)	2	2	1.35	+	1.48	3.91E-01
regulation of peroxisome organization (GO:1900063)	2	2	1.35	+	1.48	3.91E-01
negative regulation of ceramide biosynthetic process (GO:1900060)	2	2	1.35	+	1.48	3.91E-01
agglutination involved in conjugation with cellular fusion (GO:0000752)	1	1	.68	+	1.48	4.91E-01
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	1	1	.68	+	1.48	4.91E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	1	.68	+	1.48	4.91E-01
positive regulation of transposition, RNA-mediated (GO:0010527)	1	1	.68	+	1.48	4.91E-01
positive regulation of histone exchange (GO:1900051)	1	1	.68	+	1.48	4.91E-01
regulation of synaptonemal complex assembly (GO:0090173)	1	1	.68	+	1.48	4.91E-01
N-acetylglucosamine metabolic process (GO:0006044)	1	1	.68	+	1.48	4.91E-01
positive regulation of nitric oxide metabolic process (GO:1904407)	1	1	.68	+	1.48	4.91E-01
negative regulation of nitric oxide metabolic process (GO:1904406)	1	1	.68	+	1.48	4.91E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	4	4	2.70	+	1.48	2.86E-01
spermidine metabolic process (GO:0008216)	2	2	1.35	+	1.48	3.91E-01
cell wall chitin catabolic process (GO:0006039)	1	1	.68	+	1.48	4.91E-01
DNA catabolic process, endonucleolytic (GO:0000737)	2	2	1.35	+	1.48	3.91E-01
chitin localization (GO:0006033)	1	1	.68	+	1.48	4.91E-01
polyamine homeostasis (GO:0010509)	1	1	.68	+	1.48	4.91E-01
regulation of cellular response to heat (GO:1900034)	1	1	.68	+	1.48	4.91E-01
positive regulation of sphingolipid biosynthetic process (GO:0090154)	1	1	.68	+	1.48	4.91E-01
microtubule nucleation by microtubule organizing center (GO:0051418)	1	1	.68	+	1.48	4.91E-01
telomeric 3' overhang formation (GO:0031860)	2	2	1.35	+	1.48	3.91E-01
microtubule nucleation by spindle pole body (GO:0051417)	1	1	.68	+	1.48	4.91E-01
positive regulation of mitochondrial fission (GO:0090141)	1	1	.68	+	1.48	4.91E-01
regulation of mitochondrial fission (GO:0090140)	1	1	.68	+	1.48	4.91E-01
centromere localization (GO:0072765)	1	1	.68	+	1.48	4.91E-01
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex (GO:1900018)	1	1	.68	+	1.48	4.91E-01
protection from non-homologous end joining at telomere (GO:0031848)	2	2	1.35	+	1.48	3.91E-01
glucose catabolic process (GO:0006007)	2	2	1.35	+	1.48	3.91E-01
dimethylallyl diphosphate metabolic process (GO:0050993)	1	1	.68	+	1.48	4.91E-01
dimethylallyl diphosphate biosynthetic process (GO:0050992)	1	1	.68	+	1.48	4.91E-01
response to cisplatin (GO:0072718)	1	1	.68	+	1.48	4.91E-01
response to hydroxyurea (GO:0072710)	1	1	.68	+	1.48	4.91E-01
execution phase of apoptosis (GO:0097194)	2	2	1.35	+	1.48	3.91E-01
S-adenosylmethioninamine metabolic process (GO:0046499)	1	1	.68	+	1.48	4.91E-01
S-adenosylhomocysteine metabolic process (GO:0046498)	2	2	1.35	+	1.48	3.91E-01
nicotinate nucleotide metabolic process (GO:0046497)	4	4	2.70	+	1.48	2.86E-01
oxazole or thiazole metabolic process (GO:0046484)	1	1	.68	+	1.48	4.91E-01
para-aminobenzoic acid metabolic process (GO:0046482)	1	1	.68	+	1.48	4.91E-01
epoxide metabolic process (GO:0097176)	1	1	.68	+	1.48	4.91E-01
calcium ion import (GO:0070509)	2	2	1.35	+	1.48	3.91E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter (GO:0001195)	2	2	1.35	+	1.48	3.91E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	2	2	1.35	+	1.48	3.91E-01
dolichyl diphosphate metabolic process (GO:0046465)	1	1	.68	+	1.48	4.91E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	4	4	2.70	+	1.48	2.86E-01
negative regulation of posttranslational protein targeting to membrane, translocation (GO:0120236)	2	2	1.35	+	1.48	3.91E-01
regulation of posttranslational protein targeting to membrane, translocation (GO:0120235)	2	2	1.35	+	1.48	3.91E-01
diaminopimelate metabolic process (GO:0046451)	2	2	1.35	+	1.48	3.91E-01
regulation of ribonuclease activity (GO:0060700)	2	2	1.35	+	1.48	3.91E-01
multivesicular body membrane disassembly (GO:0034496)	1	1	.68	+	1.48	4.91E-01
basic amino acid transmembrane import into vacuole (GO:0034490)	2	2	1.35	+	1.48	3.91E-01
positive regulation of gamma-aminobutyric acid catabolic process (GO:1901717)	1	1	.68	+	1.48	4.91E-01
regulation of gamma-aminobutyric acid catabolic process (GO:1901715)	1	1	.68	+	1.48	4.91E-01
positive regulation of urea catabolic process (GO:1901714)	1	1	.68	+	1.48	4.91E-01
regulation of homoserine biosynthetic process (GO:1901710)	1	1	.68	+	1.48	4.91E-01
regulation of histidine biosynthetic process (GO:0120213)	1	1	.68	+	1.48	4.91E-01
raffinose catabolic process (GO:0034484)	1	1	.68	+	1.48	4.91E-01
L-cysteine metabolic process (GO:0046439)	1	1	.68	+	1.48	4.91E-01
D-amino acid biosynthetic process (GO:0046437)	1	1	.68	+	1.48	4.91E-01
U6 snRNA 3'-end processing (GO:0034477)	1	1	.68	+	1.48	4.91E-01
small-subunit processome assembly (GO:0034462)	2	2	1.35	+	1.48	3.91E-01
microtubule anchoring (GO:0034453)	1	1	.68	+	1.48	4.91E-01
protein repair (GO:0030091)	1	1	.68	+	1.48	4.91E-01
fluid transport (GO:0042044)	2	2	1.35	+	1.48	3.91E-01
'de novo' CTP biosynthetic process (GO:0044210)	2	2	1.35	+	1.48	3.91E-01
'de novo' AMP biosynthetic process (GO:0044208)	2	2	1.35	+	1.48	3.91E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 5'-3' (GO:0034428)	1	1	.68	+	1.48	4.91E-01
post-translational protein acetylation (GO:0034421)	1	1	.68	+	1.48	4.91E-01
positive regulation of nucleobase-containing compound transport (GO:0032241)	1	1	.68	+	1.48	4.91E-01
positive regulation of establishment or maintenance of bipolar cell polarity regulating cell shape (GO:2000247)	1	1	.68	+	1.48	4.91E-01
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	1	1	.68	+	1.48	4.91E-01
negative regulation of actin filament bundle assembly (GO:0032232)	2	2	1.35	+	1.48	3.91E-01
positive regulation of vacuole fusion, non-autophagic (GO:0061191)	1	1	.68	+	1.48	4.91E-01
nuclear migration by microtubule mediated pushing forces (GO:0098863)	2	2	1.35	+	1.48	3.91E-01
positive regulation of rRNA processing (GO:2000234)	1	1	.68	+	1.48	4.91E-01
negative regulation of ncRNA transcription associated with protein coding gene TSS/TES (GO:1904388)	1	1	.68	+	1.48	4.91E-01
endoplasmic reticulum mannose trimming (GO:1904380)	1	1	.68	+	1.48	4.91E-01
riboflavin transport (GO:0032218)	1	1	.68	+	1.48	4.91E-01
actin filament reorganization involved in cell cycle (GO:0030037)	1	1	.68	+	1.48	4.91E-01
positive regulation of establishment of bipolar cell polarity (GO:0061173)	1	1	.68	+	1.48	4.91E-01
regulation of establishment of bipolar cell polarity (GO:0061172)	1	1	.68	+	1.48	4.91E-01
histone H4-K12 deacetylation (GO:1990679)	1	1	.68	+	1.48	4.91E-01
histone H4-K16 deacetylation (GO:1990678)	1	1	.68	+	1.48	4.91E-01
negative regulation of invasive growth in response to glucose limitation (GO:2000218)	1	1	.68	+	1.48	4.91E-01
positive regulation of proline metabolic process (GO:2000216)	1	1	.68	+	1.48	4.91E-01
protein localization to cell division site after cytokinesis (GO:0098841)	1	1	.68	+	1.48	4.91E-01
positive regulation of glutamate metabolic process (GO:2000213)	1	1	.68	+	1.48	4.91E-01
tRNA acetylation (GO:0051391)	1	1	.68	+	1.48	4.91E-01
regulation of glutamate metabolic process (GO:2000211)	1	1	.68	+	1.48	4.91E-01
positive regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061161)	1	1	.68	+	1.48	4.91E-01
regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061160)	1	1	.68	+	1.48	4.91E-01
inactivation of MAPKK activity (GO:0051389)	1	1	.68	+	1.48	4.91E-01
3'-UTR-mediated mRNA destabilization (GO:0061158)	1	1	.68	+	1.48	4.91E-01
cellular response to reactive nitrogen species (GO:1902170)	1	1	.68	+	1.48	4.91E-01
protein maturation by protein folding (GO:0022417)	1	1	.68	+	1.48	4.91E-01
positive regulation of cell fate commitment (GO:0010455)	4	4	2.70	+	1.48	2.86E-01
histone H3-K36 methylation (GO:0010452)	1	1	.68	+	1.48	4.91E-01
para-aminobenzoic acid biosynthetic process (GO:0008153)	1	1	.68	+	1.48	4.91E-01
cellular anion homeostasis (GO:0030002)	1	1	.68	+	1.48	4.91E-01
negative regulation of translational initiation (GO:0045947)	4	4	2.70	+	1.48	2.86E-01
positive regulation of steroid metabolic process (GO:0045940)	1	1	.68	+	1.48	4.91E-01
negative regulation of oxidoreductase activity (GO:0051354)	1	1	.68	+	1.48	4.91E-01
positive regulation of ligase activity (GO:0051351)	2	2	1.35	+	1.48	3.91E-01
box H/ACA RNA metabolic process (GO:0033979)	2	2	1.35	+	1.48	3.91E-01
regulation of protein deubiquitination (GO:0090085)	1	1	.68	+	1.48	4.91E-01
regulation of ligase activity (GO:0051340)	2	2	1.35	+	1.48	3.91E-01
histone H3-K9 deacetylation (GO:1990619)	1	1	.68	+	1.48	4.91E-01
magnesium ion export from mitochondrion (GO:1990616)	1	1	.68	+	1.48	4.91E-01
positive regulation of ribosome biogenesis (GO:0090070)	1	1	.68	+	1.48	4.91E-01
mannan metabolic process (GO:0010412)	2	2	1.35	+	1.48	3.91E-01
regulation of ribosome biogenesis (GO:0090069)	2	2	1.35	+	1.48	3.91E-01
positive regulation of microtubule nucleation (GO:0090063)	1	1	.68	+	1.48	4.91E-01
regulation of trehalose metabolic process (GO:0090062)	1	1	.68	+	1.48	4.91E-01
negative regulation of translational elongation (GO:0045900)	2	2	1.35	+	1.48	3.91E-01
alkanesulfonate metabolic process (GO:0019694)	1	1	.68	+	1.48	4.91E-01
mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)	1	1	.68	+	1.48	4.91E-01
positive regulation of silent mating-type cassette heterochromatin assembly (GO:0090055)	1	1	.68	+	1.48	4.91E-01
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	4	4	2.70	+	1.48	2.86E-01
meiotic metaphase plate congression (GO:0051311)	1	1	.68	+	1.48	4.91E-01
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	1	1	.68	+	1.48	4.91E-01
regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902102)	1	1	.68	+	1.48	4.91E-01
propionate metabolic process, methylcitrate cycle (GO:0019679)	2	2	1.35	+	1.48	3.91E-01
NAD catabolic process (GO:0019677)	1	1	.68	+	1.48	4.91E-01
dehydro-D-arabinono-1,4-lactone biosynthetic process (GO:0070485)	2	2	1.35	+	1.48	3.91E-01
dehydro-D-arabinono-1,4-lactone metabolic process (GO:0070484)	2	2	1.35	+	1.48	3.91E-01
negative regulation of protein kinase C signaling (GO:0090038)	2	2	1.35	+	1.48	3.91E-01
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay (GO:0070480)	1	1	.68	+	1.48	4.91E-01
positive regulation of protein kinase C signaling (GO:0090037)	1	1	.68	+	1.48	4.91E-01
nuclear-transcribed mRNA catabolic process, 5'-3' exonucleolytic nonsense-mediated decay (GO:0070479)	1	1	.68	+	1.48	4.91E-01
acetate fermentation (GO:0019654)	1	1	.68	+	1.48	4.91E-01
plus-end specific microtubule depolymerization (GO:0070462)	1	1	.68	+	1.48	4.91E-01
negative regulation of mitotic DNA replication initiation from late origin (GO:0101018)	1	1	.68	+	1.48	4.91E-01
regulation of mitotic DNA replication initiation from late origin (GO:0101017)	1	1	.68	+	1.48	4.91E-01
positive regulation of ergosterol biosynthetic process (GO:0070452)	1	1	.68	+	1.48	4.91E-01
negative regulation of termination of RNA polymerase II transcription (GO:0120191)	1	1	.68	+	1.48	4.91E-01
nitrile metabolic process (GO:0050898)	2	2	1.35	+	1.48	3.91E-01
arsenate ion transmembrane transport (GO:1901684)	2	2	1.35	+	1.48	3.91E-01
propionate catabolic process, 2-methylcitrate cycle (GO:0019629)	2	2	1.35	+	1.48	3.91E-01
short-chain fatty acid catabolic process (GO:0019626)	2	2	1.35	+	1.48	3.91E-01
developmental growth (GO:0048589)	1	1	.68	+	1.48	4.91E-01
regulation of mitotic spindle assembly (GO:1901673)	4	4	2.70	+	1.48	2.86E-01
3,4-dihydroxybenzoate catabolic process (GO:0019619)	1	1	.68	+	1.48	4.91E-01
catechol-containing compound catabolic process (GO:0019614)	1	1	.68	+	1.48	4.91E-01
trehalose metabolism in response to heat stress (GO:0070414)	1	1	.68	+	1.48	4.91E-01
trehalose metabolism in response to stress (GO:0070413)	2	2	1.35	+	1.48	3.91E-01
deoxyribose phosphate catabolic process (GO:0046386)	1	1	.68	+	1.48	4.91E-01
unidimensional cell growth (GO:0009826)	1	1	.68	+	1.48	4.91E-01
glycoside transport (GO:1901656)	1	1	.68	+	1.48	4.91E-01
positive regulation of mitotic actomyosin contractile ring disassembly (GO:0120151)	2	2	1.35	+	1.48	3.91E-01
regulation of mitotic actomyosin contractile ring disassembly (GO:0120150)	2	2	1.35	+	1.48	3.91E-01
oxidation-dependent protein catabolic process (GO:0070407)	1	1	.68	+	1.48	4.91E-01
L-arabinose metabolic process (GO:0046373)	1	1	.68	+	1.48	4.91E-01
nucleoside transmembrane transport (GO:1901642)	1	1	.68	+	1.48	4.91E-01
regulation of chromosome condensation (GO:0060623)	1	1	.68	+	1.48	4.91E-01
selenocysteinyl-tRNA(Sec) biosynthetic process (GO:0097056)	2	2	1.35	+	1.48	3.91E-01
negative regulation of actin cortical patch assembly (GO:0120133)	1	1	.68	+	1.48	4.91E-01
acetyl-CoA catabolic process (GO:0046356)	1	1	.68	+	1.48	4.91E-01
mannan biosynthetic process (GO:0046354)	2	2	1.35	+	1.48	3.91E-01
negative regulation of transcription from RNA polymerase II promoter in response to iron (GO:0034396)	2	2	1.35	+	1.48	3.91E-01
regulation of transcription from RNA polymerase II promoter in response to iron (GO:0034395)	2	2	1.35	+	1.48	3.91E-01
protein localization to cell surface (GO:0034394)	2	2	1.35	+	1.48	3.91E-01
regulation of plasma membrane sterol distribution (GO:0097036)	1	1	.68	+	1.48	4.91E-01
transposition, RNA-mediated (GO:0032197)	1	1	.68	+	1.48	4.91E-01
eukaryotic translation initiation factor 4F complex assembly (GO:0097010)	2	2	1.35	+	1.48	3.91E-01
protein-lipid complex remodeling (GO:0034368)	1	1	.68	+	1.48	4.91E-01
ubiquinone biosynthetic process from tyrosine (GO:0032180)	1	1	.68	+	1.48	4.91E-01
NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)	4	4	2.70	+	1.48	2.86E-01
NAD salvage (GO:0034355)	1	1	.68	+	1.48	4.91E-01
alkanesulfonate catabolic process (GO:0046306)	1	1	.68	+	1.48	4.91E-01
positive regulation of mitotic DNA damage checkpoint (GO:1904291)	1	1	.68	+	1.48	4.91E-01
regulation of mitotic DNA damage checkpoint (GO:1904289)	1	1	.68	+	1.48	4.91E-01
C-terminal protein demethylation (GO:1990577)	1	1	.68	+	1.48	4.91E-01
negative regulation of sister chromatid cohesion (GO:0045875)	1	1	.68	+	1.48	4.91E-01
GDP-mannose transmembrane transport (GO:1990570)	2	2	1.35	+	1.48	3.91E-01
UDP-N-acetylglucosamine transmembrane transport (GO:1990569)	1	1	.68	+	1.48	4.91E-01
macromolecule depalmitoylation (GO:0098734)	2	2	1.35	+	1.48	3.91E-01
regulation of establishment or maintenance of bipolar cell polarity regulating cell shape (GO:2000100)	1	1	.68	+	1.48	4.91E-01
serine import across plasma membrane (GO:0098718)	2	2	1.35	+	1.48	3.91E-01
mitochondrial thiamine pyrophosphate transmembrane transport (GO:1990545)	1	1	.68	+	1.48	4.91E-01
calcium ion import across plasma membrane (GO:0098703)	2	2	1.35	+	1.48	3.91E-01
positive regulation of meiotic nuclear division (GO:0045836)	4	4	2.70	+	1.48	2.86E-01
positive regulation of glycolytic process (GO:0045821)	1	1	.68	+	1.48	4.91E-01
nucleoside bisphosphate catabolic process (GO:0033869)	2	2	1.35	+	1.48	3.91E-01
pyrimidine nucleotide import into mitochondrion (GO:1990519)	1	1	.68	+	1.48	4.91E-01
positive regulation of glycogen catabolic process (GO:0045819)	1	1	.68	+	1.48	4.91E-01
maintenance of RNA location (GO:0051237)	1	1	.68	+	1.48	4.91E-01
furaldehyde metabolic process (GO:0033859)	2	2	1.35	+	1.48	3.91E-01
mitotic DNA replication maintenance of fidelity (GO:1990505)	1	1	.68	+	1.48	4.91E-01
primary cell septum biogenesis (GO:0031671)	2	2	1.35	+	1.48	3.91E-01
fatty acid transmembrane transport (GO:1902001)	2	2	1.35	+	1.48	3.91E-01
regulation of nitric oxide metabolic process (GO:0080164)	2	2	1.35	+	1.48	3.91E-01
L-arabinose catabolic process (GO:0019572)	1	1	.68	+	1.48	4.91E-01
protein destabilization (GO:0031648)	1	1	.68	+	1.48	4.91E-01
L-arabinose catabolic process to xylulose 5-phosphate (GO:0019569)	1	1	.68	+	1.48	4.91E-01
positive regulation of anion transport (GO:1903793)	1	1	.68	+	1.48	4.91E-01
uracil transmembrane transport (GO:1903791)	1	1	.68	+	1.48	4.91E-01
guanine nucleotide transmembrane transport (GO:1903790)	1	1	.68	+	1.48	4.91E-01
