




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3741)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of phosphatidylinositol dephosphorylation (GO:0060304)	7	7	5.63	+	1.24	3.34E-01
thiamine pyrophosphate transmembrane transport (GO:0030974)	2	2	1.61	+	1.24	4.78E-01
UMP metabolic process (GO:0046049)	10	10	8.04	+	1.24	2.88E-01
IMP metabolic process (GO:0046040)	13	13	10.45	+	1.24	2.53E-01
RNA (guanine-N7)-methylation (GO:0036265)	5	5	4.02	+	1.24	3.75E-01
GTP metabolic process (GO:0046039)	5	5	4.02	+	1.24	3.75E-01
CTP metabolic process (GO:0046036)	5	5	4.02	+	1.24	3.75E-01
astral microtubule organization (GO:0030953)	3	3	2.41	+	1.24	4.34E-01
negative regulation of transcription from RNA polymerase II promoter by pheromones (GO:0046020)	6	6	4.83	+	1.24	3.53E-01
intracellular sequestering of iron ion (GO:0006880)	3	3	2.41	+	1.24	4.34E-01
glutamine transport (GO:0006868)	3	3	2.41	+	1.24	4.34E-01
mitochondrial RNA modification (GO:1900864)	6	6	4.83	+	1.24	3.53E-01
pyruvate transport (GO:0006848)	5	5	4.02	+	1.24	3.75E-01
mitochondrial citrate transmembrane transport (GO:0006843)	3	3	2.41	+	1.24	4.34E-01
tricarboxylic acid transport (GO:0006842)	3	3	2.41	+	1.24	4.34E-01
negative regulation of DNA binding (GO:0043392)	6	6	4.83	+	1.24	3.53E-01
nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay (GO:0000294)	9	9	7.24	+	1.24	3.02E-01
maintenance of DNA trinucleotide repeats (GO:0035753)	9	9	7.24	+	1.24	3.02E-01
allantoin catabolic process (GO:0000256)	6	6	4.83	+	1.24	3.53E-01
allantoin metabolic process (GO:0000255)	6	6	4.83	+	1.24	3.53E-01
spliceosomal tri-snRNP complex assembly (GO:0000244)	6	6	4.83	+	1.24	3.53E-01
N-terminal protein amino acid modification (GO:0031365)	15	15	12.06	+	1.24	2.33E-01
tRNA import into nucleus (GO:0035719)	3	3	2.41	+	1.24	4.34E-01
histone H2B ubiquitination (GO:0033523)	3	3	2.41	+	1.24	4.34E-01
alditol phosphate metabolic process (GO:0052646)	5	5	4.02	+	1.24	3.75E-01
protein-tetrapyrrole linkage (GO:0017006)	3	3	2.41	+	1.24	4.34E-01
protein-heme linkage (GO:0017003)	3	3	2.41	+	1.24	4.34E-01
L-lysine transmembrane transport (GO:1903401)	3	3	2.41	+	1.24	4.34E-01
L-arginine transmembrane transport (GO:1903400)	3	3	2.41	+	1.24	4.34E-01
polyphosphate biosynthetic process (GO:0006799)	3	3	2.41	+	1.24	4.34E-01
mitotic DNA replication preinitiation complex assembly (GO:1902977)	3	3	2.41	+	1.24	4.34E-01
heme A biosynthetic process (GO:0006784)	3	3	2.41	+	1.24	4.34E-01
NADH regeneration (GO:0006735)	3	3	2.41	+	1.24	4.34E-01
immune system process (GO:0002376)	5	5	4.02	+	1.24	3.75E-01
cell redox homeostasis (GO:0045454)	22	22	17.69	+	1.24	1.80E-01
tricarboxylic acid transmembrane transport (GO:0035674)	3	3	2.41	+	1.24	4.34E-01
maintenance of translational fidelity (GO:1990145)	5	5	4.02	+	1.24	3.75E-01
regulation of ion transport (GO:0043269)	10	10	8.04	+	1.24	2.88E-01
rRNA modification (GO:0000154)	27	27	21.71	+	1.24	1.51E-01
positive regulation of cyclase activity (GO:0031281)	3	3	2.41	+	1.24	4.34E-01
defense response to symbiont (GO:0140546)	5	5	4.02	+	1.24	3.75E-01
stress granule disassembly (GO:0035617)	3	3	2.41	+	1.24	4.34E-01
response to external biotic stimulus (GO:0043207)	5	5	4.02	+	1.24	3.75E-01
histidine biosynthetic process (GO:0000105)	9	9	7.24	+	1.24	3.02E-01
sulfate assimilation (GO:0000103)	9	9	7.24	+	1.24	3.02E-01
positive regulation of formation of translation preinitiation complex (GO:1901195)	6	6	4.83	+	1.24	3.53E-01
regulation of formation of translation preinitiation complex (GO:1901193)	6	6	4.83	+	1.24	3.53E-01
tRNA transcription by RNA polymerase III (GO:0042797)	18	18	14.48	+	1.24	2.08E-01
L-ornithine transmembrane transport (GO:1903352)	3	3	2.41	+	1.24	4.34E-01
tRNA 3'-trailer cleavage (GO:0042779)	3	3	2.41	+	1.24	4.34E-01
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	3	3	2.41	+	1.24	4.34E-01
long-chain fatty acid biosynthetic process (GO:0042759)	3	3	2.41	+	1.24	4.34E-01
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	6	6	4.83	+	1.24	3.53E-01
oligosaccharide catabolic process (GO:0009313)	11	11	8.85	+	1.24	2.76E-01
protein insertion into membrane from inner side (GO:0032978)	6	6	4.83	+	1.24	3.53E-01
hydrogen peroxide catabolic process (GO:0042744)	6	6	4.83	+	1.24	3.53E-01
tRNA transcription (GO:0009304)	18	18	14.48	+	1.24	2.08E-01
D-xylose metabolic process (GO:0042732)	6	6	4.83	+	1.24	3.53E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	3	3	2.41	+	1.24	4.34E-01
TORC2 signaling (GO:0038203)	6	6	4.83	+	1.24	3.53E-01
ergosterol biosynthetic process (GO:0006696)	24	24	19.30	+	1.24	1.68E-01
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	5	5	4.02	+	1.24	3.75E-01
CDP-choline pathway (GO:0006657)	5	5	4.02	+	1.24	3.75E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	5	5	4.02	+	1.24	3.75E-01
fatty acid beta-oxidation (GO:0006635)	13	13	10.45	+	1.24	2.53E-01
protein retention in ER lumen (GO:0006621)	10	10	8.04	+	1.24	2.88E-01
negative regulation of cell cycle G1/S phase transition (GO:1902807)	5	5	4.02	+	1.24	3.75E-01
farnesyl diphosphate biosynthetic process (GO:0045337)	6	6	4.83	+	1.24	3.53E-01
DNA replication, removal of RNA primer (GO:0043137)	5	5	4.02	+	1.24	3.75E-01
ribosomal small subunit assembly (GO:0000028)	26	26	20.91	+	1.24	1.57E-01
ribosomal large subunit assembly (GO:0000027)	40	40	32.17	+	1.24	9.99E-02
maltose catabolic process (GO:0000025)	5	5	4.02	+	1.24	3.75E-01
replication fork arrest (GO:0043111)	5	5	4.02	+	1.24	3.75E-01
GDP-mannose biosynthetic process (GO:0009298)	3	3	2.41	+	1.24	4.34E-01
pantothenate biosynthetic process (GO:0015940)	10	10	8.04	+	1.24	2.88E-01
pantothenate metabolic process (GO:0015939)	10	10	8.04	+	1.24	2.88E-01
rRNA pseudouridine synthesis (GO:0031118)	11	11	8.85	+	1.24	2.76E-01
deoxyribonucleotide biosynthetic process (GO:0009263)	10	10	8.04	+	1.24	2.88E-01
deoxyribonucleotide metabolic process (GO:0009262)	10	10	8.04	+	1.24	2.88E-01
long-chain fatty acid transport (GO:0015909)	6	6	4.83	+	1.24	3.53E-01
fatty acid transport (GO:0015908)	9	9	7.24	+	1.24	3.02E-01
protein lipoylation (GO:0009249)	5	5	4.02	+	1.24	3.75E-01
glucosamine-containing compound catabolic process (GO:1901072)	5	5	4.02	+	1.24	3.75E-01
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	5	4.02	+	1.24	3.75E-01
regulation of sister chromatid cohesion (GO:0007063)	5	5	4.02	+	1.24	3.75E-01
regulation of mitotic spindle elongation (GO:0032888)	3	3	2.41	+	1.24	4.34E-01
regulation of spindle elongation (GO:0032887)	3	3	2.41	+	1.24	4.34E-01
formation of cytoplasmic translation initiation complex (GO:0001732)	10	10	8.04	+	1.24	2.88E-01
deoxyribonucleoside triphosphate biosynthetic process (GO:0009202)	3	3	2.41	+	1.24	4.34E-01
regulation of response to reactive oxygen species (GO:1901031)	3	3	2.41	+	1.24	4.34E-01
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	6	6	4.83	+	1.24	3.53E-01
mitotic G1/S transition checkpoint signaling (GO:0044819)	5	5	4.02	+	1.24	3.75E-01
regulation of hydrogen peroxide-induced cell death (GO:1903205)	3	3	2.41	+	1.24	4.34E-01
regulation of oxidative stress-induced cell death (GO:1903201)	3	3	2.41	+	1.24	4.34E-01
microtubule depolymerization (GO:0007019)	5	5	4.02	+	1.24	3.75E-01
inner mitochondrial membrane organization (GO:0007007)	26	26	20.91	+	1.24	1.57E-01
ubiquinone-6 biosynthetic process (GO:1901006)	3	3	2.41	+	1.24	4.34E-01
ubiquinone-6 metabolic process (GO:1901004)	3	3	2.41	+	1.24	4.34E-01
regulation of vitamin metabolic process (GO:0030656)	3	3	2.41	+	1.24	4.34E-01
polyamine catabolic process (GO:0006598)	3	3	2.41	+	1.24	4.34E-01
negative regulation of establishment of protein localization (GO:1904950)	3	3	2.41	+	1.24	4.34E-01
isoprenoid biosynthetic process via mevalonate (GO:1902767)	3	3	2.41	+	1.24	4.34E-01
threonine catabolic process (GO:0006567)	3	3	2.41	+	1.24	4.34E-01
threonine metabolic process (GO:0006566)	9	9	7.24	+	1.24	3.02E-01
L-serine catabolic process (GO:0006565)	3	3	2.41	+	1.24	4.34E-01
L-serine biosynthetic process (GO:0006564)	5	5	4.02	+	1.24	3.75E-01
L-serine metabolic process (GO:0006563)	11	11	8.85	+	1.24	2.76E-01
potassium ion homeostasis (GO:0055075)	6	6	4.83	+	1.24	3.53E-01
S-adenosylmethionine biosynthetic process (GO:0006556)	3	3	2.41	+	1.24	4.34E-01
lysine metabolic process (GO:0006553)	15	15	12.06	+	1.24	2.33E-01
histidine metabolic process (GO:0006547)	9	9	7.24	+	1.24	3.02E-01
glycine biosynthetic process (GO:0006545)	5	5	4.02	+	1.24	3.75E-01
glycine metabolic process (GO:0006544)	9	9	7.24	+	1.24	3.02E-01
glutamine metabolic process (GO:0006541)	23	23	18.50	+	1.24	1.74E-01
translation reinitiation (GO:0002188)	6	6	4.83	+	1.24	3.53E-01
glutamate biosynthetic process (GO:0006537)	9	9	7.24	+	1.24	3.02E-01
cysteine metabolic process (GO:0006534)	15	15	12.06	+	1.24	2.33E-01
positive regulation of programmed cell death (GO:0043068)	3	3	2.41	+	1.24	4.34E-01
vitamin transmembrane transport (GO:0035461)	5	5	4.02	+	1.24	3.75E-01
tRNA wobble position uridine thiolation (GO:0002143)	6	6	4.83	+	1.24	3.53E-01
wobble position ribose methylation (GO:0002130)	3	3	2.41	+	1.24	4.34E-01
lipid import into cell (GO:0140354)	3	3	2.41	+	1.24	4.34E-01
tRNA nucleoside ribose methylation (GO:0002128)	6	6	4.83	+	1.24	3.53E-01
single-species submerged biofilm formation (GO:0090609)	3	3	2.41	+	1.24	4.34E-01
submerged biofilm formation (GO:0090605)	3	3	2.41	+	1.24	4.34E-01
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	11	11	8.85	+	1.24	2.76E-01
phosphate ion transmembrane transport (GO:0035435)	6	6	4.83	+	1.24	3.53E-01
acetate transmembrane transport (GO:0035433)	3	3	2.41	+	1.24	4.34E-01
positive regulation of histone H3-K36 trimethylation (GO:2001255)	3	3	2.41	+	1.24	4.34E-01
regulation of histone H3-K36 trimethylation (GO:2001253)	3	3	2.41	+	1.24	4.34E-01
positive regulation of histone deacetylation (GO:0031065)	3	3	2.41	+	1.24	4.34E-01
positive regulation of histone methylation (GO:0031062)	5	5	4.02	+	1.24	3.75E-01
cytosine transport (GO:0015856)	3	3	2.41	+	1.24	4.34E-01
spermidine transport (GO:0015848)	5	5	4.02	+	1.24	3.75E-01
putrescine transport (GO:0015847)	5	5	4.02	+	1.24	3.75E-01
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	3	3	2.41	+	1.24	4.34E-01
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	3	3	2.41	+	1.24	4.34E-01
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	3	3	2.41	+	1.24	4.34E-01
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	10	10	8.04	+	1.24	2.88E-01
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	10	10	8.04	+	1.24	2.88E-01
positive regulation of transcription elongation from RNA polymerase I promoter (GO:2001209)	9	9	7.24	+	1.24	3.02E-01
regulation of transcription elongation from RNA polymerase I promoter (GO:2001207)	9	9	7.24	+	1.24	3.02E-01
L-serine transport (GO:0015825)	3	3	2.41	+	1.24	4.34E-01
ornithine transport (GO:0015822)	3	3	2.41	+	1.24	4.34E-01
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	22	22	17.69	+	1.24	1.80E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	25	25	20.10	+	1.24	1.62E-01
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	5	5	4.02	+	1.24	3.75E-01
tRNA 5'-leader removal (GO:0001682)	5	5	4.02	+	1.24	3.75E-01
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	3	3	2.41	+	1.24	4.34E-01
L-amino acid transport (GO:0015807)	13	13	10.45	+	1.24	2.53E-01
neutral amino acid transport (GO:0015804)	15	15	12.06	+	1.24	2.33E-01
branched-chain amino acid transport (GO:0015803)	3	3	2.41	+	1.24	4.34E-01
negative regulation of autophagy of mitochondrion (GO:1903147)	3	3	2.41	+	1.24	4.34E-01
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	3	3	2.41	+	1.24	4.34E-01
purine nucleoside diphosphate biosynthetic process (GO:0009136)	3	3	2.41	+	1.24	4.34E-01
regulation of mitochondrial gene expression (GO:0062125)	11	11	8.85	+	1.24	2.76E-01
nucleoside diphosphate biosynthetic process (GO:0009133)	5	5	4.02	+	1.24	3.75E-01
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	13	13	10.45	+	1.24	2.53E-01
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	13	13	10.45	+	1.24	2.53E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	22	22	17.69	+	1.24	1.80E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	25	25	20.10	+	1.24	1.62E-01
box C/D RNA processing (GO:0034963)	12	12	9.65	+	1.24	2.64E-01
positive regulation of double-strand break repair (GO:2000781)	3	3	2.41	+	1.24	4.34E-01
purine nucleobase biosynthetic process (GO:0009113)	10	10	8.04	+	1.24	2.88E-01
positive regulation of division septum assembly (GO:0010973)	3	3	2.41	+	1.24	4.34E-01
regulation of phosphate transport (GO:0010966)	3	3	2.41	+	1.24	4.34E-01
attachment of GPI anchor to protein (GO:0016255)	5	5	4.02	+	1.24	3.75E-01
N-terminal protein amino acid acetylation (GO:0006474)	11	11	8.85	+	1.24	2.76E-01
secondary alcohol biosynthetic process (GO:1902653)	26	26	20.91	+	1.24	1.57E-01
secondary alcohol metabolic process (GO:1902652)	35	35	28.15	+	1.24	1.17E-01
positive regulation of cell death (GO:0010942)	3	3	2.41	+	1.24	4.34E-01
tRNA wobble uridine modification (GO:0002098)	29	29	23.32	+	1.24	1.42E-01
positive regulation of receptor internalization (GO:0002092)	3	3	2.41	+	1.24	4.34E-01
regulation of receptor internalization (GO:0002090)	3	3	2.41	+	1.24	4.34E-01
assembly of large subunit precursor of preribosome (GO:1902626)	10	10	8.04	+	1.24	2.88E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	3	2.41	+	1.24	4.34E-01
positive regulation of filamentous growth of a population of unicellular organisms in response to starvation (GO:1900436)	3	3	2.41	+	1.24	4.34E-01
regulation of filamentous growth of a population of unicellular organisms in response to starvation (GO:1900434)	3	3	2.41	+	1.24	4.34E-01
translational termination (GO:0006415)	17	17	13.67	+	1.24	2.16E-01
rRNA export from nucleus (GO:0006407)	18	18	14.48	+	1.24	2.08E-01
RNA import into nucleus (GO:0006404)	6	6	4.83	+	1.24	3.53E-01
mitotic division septum assembly (GO:0140278)	3	3	2.41	+	1.24	4.34E-01
regulation of cellular response to oxidative stress (GO:1900407)	3	3	2.41	+	1.24	4.34E-01
negative regulation of reciprocal meiotic recombination (GO:0045128)	3	3	2.41	+	1.24	4.34E-01
regulation of histone H2B conserved C-terminal lysine ubiquitination (GO:2001173)	5	5	4.02	+	1.24	3.75E-01
regulation of histone H2B ubiquitination (GO:2001166)	6	6	4.83	+	1.24	3.53E-01
fatty-acyl-CoA metabolic process (GO:0035337)	3	3	2.41	+	1.24	4.34E-01
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	3	3	2.41	+	1.24	4.34E-01
eisosome assembly (GO:0070941)	10	10	8.04	+	1.24	2.88E-01
trehalose catabolic process (GO:0005993)	3	3	2.41	+	1.24	4.34E-01
trehalose metabolic process (GO:0005991)	11	11	8.85	+	1.24	2.76E-01
sucrose catabolic process (GO:0005987)	6	6	4.83	+	1.24	3.53E-01
glycogen catabolic process (GO:0005980)	3	3	2.41	+	1.24	4.34E-01
response to cycloheximide (GO:0046898)	3	3	2.41	+	1.24	4.34E-01
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	5	5	4.02	+	1.24	3.75E-01
homoserine metabolic process (GO:0009092)	15	15	12.06	+	1.24	2.33E-01
homoserine biosynthetic process (GO:0009090)	3	3	2.41	+	1.24	4.34E-01
global genome nucleotide-excision repair (GO:0070911)	5	5	4.02	+	1.24	3.75E-01
citrate transport (GO:0015746)	3	3	2.41	+	1.24	4.34E-01
sequestering of iron ion (GO:0097577)	3	3	2.41	+	1.24	4.34E-01
C4-dicarboxylate transport (GO:0015740)	5	5	4.02	+	1.24	3.75E-01
threonine biosynthetic process (GO:0009088)	6	6	4.83	+	1.24	3.53E-01
mitochondrial tRNA modification (GO:0070900)	6	6	4.83	+	1.24	3.53E-01
serine family amino acid catabolic process (GO:0009071)	9	9	7.24	+	1.24	3.02E-01
serine family amino acid biosynthetic process (GO:0009070)	23	23	18.50	+	1.24	1.74E-01
serine family amino acid metabolic process (GO:0009069)	36	36	28.95	+	1.24	1.13E-01
fatty acid catabolic process (GO:0009062)	22	22	17.69	+	1.24	1.80E-01
monocarboxylic acid transport (GO:0015718)	17	17	13.67	+	1.24	2.16E-01
lipid phosphorylation (GO:0046834)	3	3	2.41	+	1.24	4.34E-01
regulation of protein export from nucleus (GO:0046825)	3	3	2.41	+	1.24	4.34E-01
positive regulation of nucleocytoplasmic transport (GO:0046824)	5	5	4.02	+	1.24	3.75E-01
positive regulation of RNA binding (GO:1905216)	3	3	2.41	+	1.24	4.34E-01
regulation of RNA binding (GO:1905214)	3	3	2.41	+	1.24	4.34E-01
tRNA methylation (GO:0030488)	24	24	19.30	+	1.24	1.68E-01
pseudouridine synthesis (GO:0001522)	17	17	13.67	+	1.24	2.16E-01
cristae formation (GO:0042407)	9	9	7.24	+	1.24	3.02E-01
regulation of DNA replication origin binding (GO:1902595)	3	3	2.41	+	1.24	4.34E-01
medium-chain fatty acid catabolic process (GO:0051793)	3	3	2.41	+	1.24	4.34E-01
medium-chain fatty acid biosynthetic process (GO:0051792)	3	3	2.41	+	1.24	4.34E-01
medium-chain fatty acid metabolic process (GO:0051791)	3	3	2.41	+	1.24	4.34E-01
mitochondrial transcription (GO:0006390)	3	3	2.41	+	1.24	4.34E-01
termination of RNA polymerase I transcription (GO:0006363)	6	6	4.83	+	1.24	3.53E-01
transcription elongation from RNA polymerase I promoter (GO:0006362)	5	5	4.02	+	1.24	3.75E-01
regulation of protein localization to mitotic spindle pole body (GO:1902542)	3	3	2.41	+	1.24	4.34E-01
phytosteroid biosynthetic process (GO:0016129)	24	24	19.30	+	1.24	1.68E-01
DNA replication-independent nucleosome assembly (GO:0006336)	6	6	4.83	+	1.24	3.53E-01
DNA replication-dependent nucleosome assembly (GO:0006335)	5	5	4.02	+	1.24	3.75E-01
mitochondrial tRNA wobble uridine modification (GO:0070899)	3	3	2.41	+	1.24	4.34E-01
RNA polymerase III preinitiation complex assembly (GO:0070898)	6	6	4.83	+	1.24	3.53E-01
transposon integration (GO:0070893)	3	3	2.41	+	1.24	4.34E-01
response to other organism (GO:0051707)	5	5	4.02	+	1.24	3.75E-01
biological process involved in intraspecies interaction between organisms (GO:0051703)	5	5	4.02	+	1.24	3.75E-01
protein O-linked mannosylation (GO:0035269)	11	11	8.85	+	1.24	2.76E-01
protein mannosylation (GO:0035268)	13	13	10.45	+	1.24	2.53E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	12	12	9.65	+	1.24	2.64E-01
peroxisome inheritance (GO:0045033)	3	3	2.41	+	1.24	4.34E-01
protein maturation by copper ion transfer (GO:0015680)	3	3	2.41	+	1.24	4.34E-01
copper ion import (GO:0015677)	10	10	8.04	+	1.24	2.88E-01
hydrogen sulfide biosynthetic process (GO:0070814)	6	6	4.83	+	1.24	3.53E-01
hydrogen sulfide metabolic process (GO:0070813)	6	6	4.83	+	1.24	3.53E-01
regulation of transmembrane transport (GO:0034762)	12	12	9.65	+	1.24	2.64E-01
ER-dependent peroxisome organization (GO:0032581)	6	6	4.83	+	1.24	3.53E-01
long-chain fatty acid import into cell (GO:0044539)	3	3	2.41	+	1.24	4.34E-01
positive regulation of DNA biosynthetic process (GO:2000573)	3	3	2.41	+	1.24	4.34E-01
DNA replication-independent nucleosome organization (GO:0034724)	9	9	7.24	+	1.24	3.02E-01
DNA replication-dependent nucleosome organization (GO:0034723)	5	5	4.02	+	1.24	3.75E-01
positive regulation of protein import into nucleus (GO:0042307)	3	3	2.41	+	1.24	4.34E-01
regulation of cytoplasmic translational initiation (GO:1904688)	6	6	4.83	+	1.24	3.53E-01
regulation of protein import into nucleus (GO:0042306)	5	5	4.02	+	1.24	3.75E-01
protein N-linked glycosylation via asparagine (GO:0018279)	6	6	4.83	+	1.24	3.53E-01
DNA replication, synthesis of RNA primer (GO:0006269)	3	3	2.41	+	1.24	4.34E-01
protein kinase A signaling (GO:0010737)	6	6	4.83	+	1.24	3.53E-01
protein glutathionylation (GO:0010731)	3	3	2.41	+	1.24	4.34E-01
peptidyl-methionine modification (GO:0018206)	6	6	4.83	+	1.24	3.53E-01
peptidyl-histidine modification (GO:0018202)	9	9	7.24	+	1.24	3.02E-01
CTP biosynthetic process (GO:0006241)	5	5	4.02	+	1.24	3.75E-01
UMP biosynthetic process (GO:0006222)	10	10	8.04	+	1.24	2.88E-01
septin ring assembly (GO:0000921)	12	12	9.65	+	1.24	2.64E-01
negative regulation of cell aging (GO:0090344)	3	3	2.41	+	1.24	4.34E-01
defense response to virus (GO:0051607)	5	5	4.02	+	1.24	3.75E-01
negative regulation of intracellular protein transport (GO:0090317)	3	3	2.41	+	1.24	4.34E-01
positive regulation of intracellular protein transport (GO:0090316)	6	6	4.83	+	1.24	3.53E-01
positive regulation of protein deacetylation (GO:0090312)	3	3	2.41	+	1.24	4.34E-01
cellular lipid biosynthetic process (GO:0097384)	24	24	19.30	+	1.24	1.68E-01
response to copper ion (GO:0046688)	3	3	2.41	+	1.24	4.34E-01
response to antibiotic (GO:0046677)	6	6	4.83	+	1.24	3.53E-01
autophagosome maturation (GO:0097352)	3	3	2.41	+	1.24	4.34E-01
folic acid biosynthetic process (GO:0046656)	5	5	4.02	+	1.24	3.75E-01
tetrahydrofolate metabolic process (GO:0046653)	11	11	8.85	+	1.24	2.76E-01
error-free postreplication DNA repair (GO:0042275)	3	3	2.41	+	1.24	4.34E-01
mature ribosome assembly (GO:0042256)	5	5	4.02	+	1.24	3.75E-01
ribosome assembly (GO:0042255)	75	75	60.31	+	1.24	3.62E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	5	5	4.02	+	1.24	3.75E-01
peptidyl-asparagine modification (GO:0018196)	6	6	4.83	+	1.24	3.53E-01
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	3	3	2.41	+	1.24	4.34E-01
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	3	3	2.41	+	1.24	4.34E-01
positive regulation of protein import (GO:1904591)	3	3	2.41	+	1.24	4.34E-01
regulation of protein import (GO:1904589)	5	5	4.02	+	1.24	3.75E-01
DNA replication preinitiation complex assembly (GO:0071163)	3	3	2.41	+	1.24	4.34E-01
'de novo' IMP biosynthetic process (GO:0006189)	9	9	7.24	+	1.24	3.02E-01
IMP biosynthetic process (GO:0006188)	12	12	9.65	+	1.24	2.64E-01
negative regulation of protein localization to spindle pole body (GO:1902364)	3	3	2.41	+	1.24	4.34E-01
regulation of protein localization to spindle pole body (GO:1902363)	5	5	4.02	+	1.24	3.75E-01
regulation of histone H3-K4 methylation (GO:0051569)	5	5	4.02	+	1.24	3.75E-01
positive regulation of mitochondrial DNA replication (GO:0090297)	3	3	2.41	+	1.24	4.34E-01
regulation of mitochondrial DNA replication (GO:0090296)	3	3	2.41	+	1.24	4.34E-01
nitrogen catabolite repression of transcription (GO:0090295)	3	3	2.41	+	1.24	4.34E-01
AMP biosynthetic process (GO:0006167)	5	5	4.02	+	1.24	3.75E-01
nitrogen catabolite activation of transcription (GO:0090294)	5	5	4.02	+	1.24	3.75E-01
nitrogen catabolite regulation of transcription (GO:0090293)	9	9	7.24	+	1.24	3.02E-01
histone mRNA metabolic process (GO:0008334)	3	3	2.41	+	1.24	4.34E-01
negative regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043942)	3	3	2.41	+	1.24	4.34E-01
regulation of nucleotide metabolic process (GO:0006140)	5	5	4.02	+	1.24	3.75E-01
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	6	6	4.83	+	1.24	3.53E-01
regulation of arginine metabolic process (GO:0000821)	3	3	2.41	+	1.24	4.34E-01
NADH oxidation (GO:0006116)	10	10	8.04	+	1.24	2.88E-01
regulation of glycolytic process (GO:0006110)	3	3	2.41	+	1.24	4.34E-01
lysine biosynthetic process via aminoadipic acid (GO:0019878)	11	11	8.85	+	1.24	2.76E-01
malate metabolic process (GO:0006108)	5	5	4.02	+	1.24	3.75E-01
isocitrate metabolic process (GO:0006102)	5	5	4.02	+	1.24	3.75E-01
positive regulation of cell septum assembly (GO:1901893)	3	3	2.41	+	1.24	4.34E-01
regulation of thiamine biosynthetic process (GO:0070623)	3	3	2.41	+	1.24	4.34E-01
mitochondrial respirasome assembly (GO:0097250)	3	3	2.41	+	1.24	4.34E-01
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	10	10	8.04	+	1.24	2.88E-01
chromosome attachment to the nuclear envelope (GO:0097240)	5	5	4.02	+	1.24	3.75E-01
negative regulation of intracellular transport (GO:0032387)	3	3	2.41	+	1.24	4.34E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	5	5	4.02	+	1.24	3.75E-01
respiratory chain complex II assembly (GO:0034552)	5	5	4.02	+	1.24	3.75E-01
nitrate assimilation (GO:0042128)	3	3	2.41	+	1.24	4.34E-01
nitrate metabolic process (GO:0042126)	3	3	2.41	+	1.24	4.34E-01
serine transport (GO:0032329)	5	5	4.02	+	1.24	3.75E-01
sphingolipid catabolic process (GO:0030149)	5	5	4.02	+	1.24	3.75E-01
cytochrome c-heme linkage (GO:0018063)	3	3	2.41	+	1.24	4.34E-01
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051)	15	15	12.06	+	1.24	2.33E-01
polyadenylation-dependent mRNA catabolic process (GO:0071047)	15	15	12.06	+	1.24	2.33E-01
histone mRNA catabolic process (GO:0071044)	3	3	2.41	+	1.24	4.34E-01
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	15	15	12.06	+	1.24	2.33E-01
(1->3)-beta-D-glucan biosynthetic process (GO:0006075)	9	9	7.24	+	1.24	3.02E-01
