




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of nucleocytoplasmic transport (GO:0046822)	5	2	1.65	+	1.21	4.93E-01
maturation of 5.8S rRNA (GO:0000460)	35	14	11.58	+	1.21	2.75E-01
protein geranylgeranylation (GO:0018344)	5	2	1.65	+	1.21	4.93E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	25	10	8.27	+	1.21	3.18E-01
organelle inheritance (GO:0048308)	10	4	3.31	+	1.21	4.22E-01
transcription initiation from RNA polymerase III promoter (GO:0006384)	5	2	1.65	+	1.21	4.93E-01
terpenoid biosynthetic process (GO:0016114)	10	4	3.31	+	1.21	4.22E-01
reciprocal homologous recombination (GO:0140527)	20	8	6.62	+	1.21	3.44E-01
nucleosome assembly (GO:0006334)	15	6	4.96	+	1.21	3.78E-01
regulation of microtubule motor activity (GO:2000574)	5	2	1.65	+	1.21	4.93E-01
response to sterol depletion (GO:0006991)	5	2	1.65	+	1.21	4.93E-01
rescue of stalled ribosome (GO:0072344)	5	2	1.65	+	1.21	4.93E-01
borate transport (GO:0046713)	5	2	1.65	+	1.21	4.93E-01
ER-nucleus signaling pathway (GO:0006984)	5	2	1.65	+	1.21	4.93E-01
positive regulation of MAPK cascade (GO:0043410)	5	2	1.65	+	1.21	4.93E-01
regulation of MAPK cascade (GO:0043408)	10	4	3.31	+	1.21	4.22E-01
positive regulation of intracellular protein transport (GO:0090316)	5	2	1.65	+	1.21	4.93E-01
mitochondrion localization (GO:0051646)	10	4	3.31	+	1.21	4.22E-01
polyprenol metabolic process (GO:0016093)	5	2	1.65	+	1.21	4.93E-01
dolichol metabolic process (GO:0019348)	5	2	1.65	+	1.21	4.93E-01
UMP metabolic process (GO:0046049)	5	2	1.65	+	1.21	4.93E-01
GMP metabolic process (GO:0046037)	5	2	1.65	+	1.21	4.93E-01
RNA (guanine-N7)-methylation (GO:0036265)	5	2	1.65	+	1.21	4.93E-01
RNA capping (GO:0036260)	5	2	1.65	+	1.21	4.93E-01
purine nucleoside bisphosphate metabolic process (GO:0034032)	30	12	9.93	+	1.21	2.95E-01
UMP biosynthetic process (GO:0006222)	5	2	1.65	+	1.21	4.93E-01
proton-transporting two-sector ATPase complex assembly (GO:0070071)	10	4	3.31	+	1.21	4.22E-01
nucleotide transport (GO:0006862)	10	4	3.31	+	1.21	4.22E-01
positive regulation of protein ubiquitination (GO:0031398)	5	2	1.65	+	1.21	4.93E-01
unsaturated fatty acid metabolic process (GO:0033559)	5	2	1.65	+	1.21	4.93E-01
regulation of gene expression, epigenetic (GO:0040029)	25	10	8.27	+	1.21	3.18E-01
growth (GO:0040007)	5	2	1.65	+	1.21	4.93E-01
7-methylguanosine RNA capping (GO:0009452)	5	2	1.65	+	1.21	4.93E-01
regulation of histone acetylation (GO:0035065)	5	2	1.65	+	1.21	4.93E-01
malate metabolic process (GO:0006108)	5	2	1.65	+	1.21	4.93E-01
regulation of ion transport (GO:0043269)	5	2	1.65	+	1.21	4.93E-01
heme biosynthetic process (GO:0006783)	15	6	4.96	+	1.21	3.78E-01
glutathione catabolic process (GO:0006751)	5	2	1.65	+	1.21	4.93E-01
nitrate assimilation (GO:0042128)	5	2	1.65	+	1.21	4.93E-01
nitrate metabolic process (GO:0042126)	5	2	1.65	+	1.21	4.93E-01
intracellular lipid transport (GO:0032365)	5	2	1.65	+	1.21	4.93E-01
very long-chain fatty acid biosynthetic process (GO:0042761)	5	2	1.65	+	1.21	4.93E-01
acyl-CoA biosynthetic process (GO:0071616)	10	4	3.31	+	1.21	4.22E-01
DNA repair complex assembly (GO:0090735)	5	2	1.65	+	1.21	4.93E-01
cell surface receptor signaling pathway (GO:0007166)	5	2	1.65	+	1.21	4.93E-01
SREBP signaling pathway (GO:0032933)	5	2	1.65	+	1.21	4.93E-01
glycerol metabolic process (GO:0006071)	5	2	1.65	+	1.21	4.93E-01
reciprocal meiotic recombination (GO:0007131)	20	8	6.62	+	1.21	3.44E-01
N-acetylglucosamine metabolic process (GO:0006044)	5	2	1.65	+	1.21	4.93E-01
protein dealkylation (GO:0008214)	5	2	1.65	+	1.21	4.93E-01
positive regulation of protein acetylation (GO:1901985)	5	2	1.65	+	1.21	4.93E-01
DNA recombinase assembly (GO:0000730)	5	2	1.65	+	1.21	4.93E-01
acyl-CoA metabolic process (GO:0006637)	20	8	6.62	+	1.21	3.44E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	2	1.65	+	1.21	4.93E-01
transcription, RNA-templated (GO:0001172)	5	2	1.65	+	1.21	4.93E-01
regulation of transferase activity (GO:0051338)	50	20	16.54	+	1.21	2.27E-01
coenzyme A metabolic process (GO:0015936)	10	4	3.31	+	1.21	4.22E-01
regulation of DNA recombination (GO:0000018)	5	2	1.65	+	1.21	4.93E-01
regulation of microtubule-based process (GO:0032886)	5	2	1.65	+	1.21	4.93E-01
box C/D RNA metabolic process (GO:0033967)	5	2	1.65	+	1.21	4.93E-01
mitochondrial tRNA processing (GO:0090646)	5	2	1.65	+	1.21	4.93E-01
cellular response to sterol depletion (GO:0071501)	5	2	1.65	+	1.21	4.93E-01
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	5	2	1.65	+	1.21	4.93E-01
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	5	2	1.65	+	1.21	4.93E-01
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	10	4	3.31	+	1.21	4.22E-01
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	5	2	1.65	+	1.21	4.93E-01
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	5	2	1.65	+	1.21	4.93E-01
deoxyribose phosphate biosynthetic process (GO:0046385)	5	2	1.65	+	1.21	4.93E-01
cellular modified amino acid metabolic process (GO:0006575)	55	22	18.20	+	1.21	2.14E-01
chaperone-mediated protein folding (GO:0061077)	15	6	4.96	+	1.21	3.78E-01
borate transmembrane transport (GO:0035445)	5	2	1.65	+	1.21	4.93E-01
cell wall organization or biogenesis (GO:0071554)	123	49	40.70	+	1.20	1.11E-01
cellular oxidant detoxification (GO:0098869)	33	13	10.92	+	1.19	3.02E-01
polyol metabolic process (GO:0019751)	33	13	10.92	+	1.19	3.02E-01
glycolipid biosynthetic process (GO:0009247)	33	13	10.92	+	1.19	3.02E-01
inorganic anion transport (GO:0015698)	28	11	9.26	+	1.19	3.26E-01
cytochrome complex assembly (GO:0017004)	28	11	9.26	+	1.19	3.26E-01
organonitrogen compound biosynthetic process (GO:1901566)	682	267	225.67	+	1.18	2.86E-03
ncRNA processing (GO:0034470)	253	99	83.72	+	1.18	5.35E-02
pyridine-containing compound biosynthetic process (GO:0072525)	23	9	7.61	+	1.18	3.53E-01
cellular carbohydrate biosynthetic process (GO:0034637)	23	9	7.61	+	1.18	3.53E-01
regulation of cell morphogenesis (GO:0022604)	23	9	7.61	+	1.18	3.53E-01
regulation of cell shape (GO:0008360)	23	9	7.61	+	1.18	3.53E-01
isoprenoid metabolic process (GO:0006720)	23	9	7.61	+	1.18	3.53E-01
cellular biogenic amine metabolic process (GO:0006576)	23	9	7.61	+	1.18	3.53E-01
ribonucleotide biosynthetic process (GO:0009260)	64	25	21.18	+	1.18	2.29E-01
positive regulation of protein kinase activity (GO:0045860)	18	7	5.96	+	1.18	3.87E-01
nucleoside monophosphate metabolic process (GO:0009123)	36	14	11.91	+	1.18	3.09E-01
regulation of translational fidelity (GO:0006450)	18	7	5.96	+	1.18	3.87E-01
pyridine nucleotide biosynthetic process (GO:0019363)	18	7	5.96	+	1.18	3.87E-01
nicotinamide nucleotide biosynthetic process (GO:0019359)	18	7	5.96	+	1.18	3.87E-01
regulation of proteolysis (GO:0030162)	36	14	11.91	+	1.18	3.09E-01
mitochondrial genome maintenance (GO:0000002)	18	7	5.96	+	1.18	3.87E-01
GPI anchor metabolic process (GO:0006505)	31	12	10.26	+	1.17	3.33E-01
mitochondrial translation (GO:0032543)	31	12	10.26	+	1.17	3.33E-01
xenobiotic transport (GO:0042908)	31	12	10.26	+	1.17	3.33E-01
export across plasma membrane (GO:0140115)	31	12	10.26	+	1.17	3.33E-01
cell wall macromolecule metabolic process (GO:0044036)	44	17	14.56	+	1.17	2.94E-01
nucleotide biosynthetic process (GO:0009165)	96	37	31.77	+	1.16	1.97E-01
nucleoside phosphate biosynthetic process (GO:1901293)	96	37	31.77	+	1.16	1.97E-01
ribose phosphate metabolic process (GO:0019693)	109	42	36.07	+	1.16	1.80E-01
response to oxygen-containing compound (GO:1901700)	26	10	8.60	+	1.16	3.60E-01
positive regulation of transport (GO:0051050)	13	5	4.30	+	1.16	4.30E-01
vesicle budding from membrane (GO:0006900)	13	5	4.30	+	1.16	4.30E-01
response to reactive oxygen species (GO:0000302)	13	5	4.30	+	1.16	4.30E-01
negative regulation of phosphorus metabolic process (GO:0010563)	13	5	4.30	+	1.16	4.30E-01
aminoglycan catabolic process (GO:0006026)	13	5	4.30	+	1.16	4.30E-01
negative regulation of phosphate metabolic process (GO:0045936)	13	5	4.30	+	1.16	4.30E-01
ribosomal small subunit assembly (GO:0000028)	13	5	4.30	+	1.16	4.30E-01
transmembrane transport (GO:0055085)	506	194	167.43	+	1.16	2.08E-02
glycosylation (GO:0070085)	81	31	26.80	+	1.16	2.32E-01
nucleoside phosphate metabolic process (GO:0006753)	149	57	49.30	+	1.16	1.51E-01
nucleotide phosphorylation (GO:0046939)	21	8	6.95	+	1.15	3.94E-01
negative regulation of gene expression, epigenetic (GO:0045814)	21	8	6.95	+	1.15	3.94E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	21	8	6.95	+	1.15	3.94E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	21	8	6.95	+	1.15	3.94E-01
branched-chain amino acid metabolic process (GO:0009081)	21	8	6.95	+	1.15	3.94E-01
chromatin silencing (GO:0006342)	21	8	6.95	+	1.15	3.94E-01
positive regulation of phosphorylation (GO:0042327)	21	8	6.95	+	1.15	3.94E-01
homologous recombination (GO:0035825)	21	8	6.95	+	1.15	3.94E-01
mismatch repair (GO:0006298)	21	8	6.95	+	1.15	3.94E-01
fungal-type cell wall organization (GO:0031505)	50	19	16.54	+	1.15	3.04E-01
small molecule catabolic process (GO:0044282)	129	49	42.69	+	1.15	1.84E-01
glycosyl compound metabolic process (GO:1901657)	29	11	9.60	+	1.15	3.66E-01
purine nucleotide biosynthetic process (GO:0006164)	58	22	19.19	+	1.15	2.89E-01
membrane lipid biosynthetic process (GO:0046467)	53	20	17.54	+	1.14	3.08E-01
response to chemical (GO:0042221)	183	69	60.55	+	1.14	1.51E-01
cell wall macromolecule catabolic process (GO:0016998)	16	6	5.29	+	1.13	4.36E-01
cellular response to superoxide (GO:0071451)	8	3	2.65	+	1.13	4.93E-01
cellular response to oxygen radical (GO:0071450)	8	3	2.65	+	1.13	4.93E-01
nucleotide metabolic process (GO:0009117)	144	54	47.65	+	1.13	1.95E-01
C4-dicarboxylate transport (GO:0015740)	8	3	2.65	+	1.13	4.93E-01
aromatic amino acid family biosynthetic process (GO:0009073)	16	6	5.29	+	1.13	4.36E-01
magnesium ion transmembrane transport (GO:1903830)	8	3	2.65	+	1.13	4.93E-01
removal of superoxide radicals (GO:0019430)	8	3	2.65	+	1.13	4.93E-01
magnesium ion transport (GO:0015693)	8	3	2.65	+	1.13	4.93E-01
tetrapyrrole biosynthetic process (GO:0033014)	16	6	5.29	+	1.13	4.36E-01
sno(s)RNA metabolic process (GO:0016074)	16	6	5.29	+	1.13	4.36E-01
response to oxygen radical (GO:0000305)	8	3	2.65	+	1.13	4.93E-01
response to superoxide (GO:0000303)	8	3	2.65	+	1.13	4.93E-01
post-transcriptional gene silencing by RNA (GO:0035194)	8	3	2.65	+	1.13	4.93E-01
rRNA 5'-end processing (GO:0000967)	8	3	2.65	+	1.13	4.93E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	16	6	5.29	+	1.13	4.36E-01
cellular copper ion homeostasis (GO:0006878)	8	3	2.65	+	1.13	4.93E-01
cellular response to heat (GO:0034605)	8	3	2.65	+	1.13	4.93E-01
positive regulation of actin filament polymerization (GO:0030838)	8	3	2.65	+	1.13	4.93E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	16	6	5.29	+	1.13	4.36E-01
riboflavin metabolic process (GO:0006771)	8	3	2.65	+	1.13	4.93E-01
hydrogen peroxide catabolic process (GO:0042744)	8	3	2.65	+	1.13	4.93E-01
positive regulation of phosphorus metabolic process (GO:0010562)	24	9	7.94	+	1.13	3.99E-01
basic amino acid transmembrane transport (GO:1990822)	8	3	2.65	+	1.13	4.93E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	680	255	225.01	+	1.13	2.19E-02
gene silencing (GO:0016458)	32	12	10.59	+	1.13	3.72E-01
posttranscriptional gene silencing (GO:0016441)	8	3	2.65	+	1.13	4.93E-01
sno(s)RNA processing (GO:0043144)	16	6	5.29	+	1.13	4.36E-01
positive regulation of reproductive process (GO:2000243)	8	3	2.65	+	1.13	4.93E-01
positive regulation of phosphate metabolic process (GO:0045937)	24	9	7.94	+	1.13	3.99E-01
sterol transport (GO:0015918)	8	3	2.65	+	1.13	4.93E-01
riboflavin biosynthetic process (GO:0009231)	8	3	2.65	+	1.13	4.93E-01
hemicellulose metabolic process (GO:0010410)	16	6	5.29	+	1.13	4.36E-01
cellular metabolic compound salvage (GO:0043094)	16	6	5.29	+	1.13	4.36E-01
import across plasma membrane (GO:0098739)	8	3	2.65	+	1.13	4.93E-01
phosphatidylethanolamine metabolic process (GO:0046337)	8	3	2.65	+	1.13	4.93E-01
leucine metabolic process (GO:0006551)	8	3	2.65	+	1.13	4.93E-01
cellular amine metabolic process (GO:0044106)	24	9	7.94	+	1.13	3.99E-01
isoleucine metabolic process (GO:0006549)	8	3	2.65	+	1.13	4.93E-01
mitochondrial gene expression (GO:0140053)	43	16	14.23	+	1.12	3.53E-01
sulfur compound metabolic process (GO:0006790)	121	45	40.04	+	1.12	2.35E-01
pyridine-containing compound metabolic process (GO:0072524)	27	10	8.93	+	1.12	4.04E-01
purine ribonucleotide biosynthetic process (GO:0009152)	54	20	17.87	+	1.12	3.37E-01
pyruvate metabolic process (GO:0006090)	27	10	8.93	+	1.12	4.04E-01
fatty acid biosynthetic process (GO:0006633)	27	10	8.93	+	1.12	4.04E-01
carbohydrate derivative biosynthetic process (GO:1901137)	208	77	68.83	+	1.12	1.74E-01
organophosphate metabolic process (GO:0019637)	308	114	101.91	+	1.12	1.22E-01
glutamine metabolic process (GO:0006541)	19	7	6.29	+	1.11	4.40E-01
RNA methylation (GO:0001510)	38	14	12.57	+	1.11	3.80E-01
asexual reproduction (GO:0019954)	19	7	6.29	+	1.11	4.40E-01
histone methylation (GO:0016571)	19	7	6.29	+	1.11	4.40E-01
protein glycosylation (GO:0006486)	68	25	22.50	+	1.11	3.26E-01
macromolecule glycosylation (GO:0043413)	68	25	22.50	+	1.11	3.26E-01
carbohydrate derivative metabolic process (GO:1901135)	313	115	103.57	+	1.11	1.38E-01
GPI anchor biosynthetic process (GO:0006506)	30	11	9.93	+	1.11	4.08E-01
ncRNA metabolic process (GO:0034660)	295	108	97.61	+	1.11	1.54E-01
protein N-linked glycosylation (GO:0006487)	41	15	13.57	+	1.11	3.84E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	52	19	17.21	+	1.10	3.64E-01
ribonucleoprotein complex localization (GO:0071166)	52	19	17.21	+	1.10	3.64E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	200	73	66.18	+	1.10	2.14E-01
cellular response to chemical stimulus (GO:0070887)	121	44	40.04	+	1.10	2.85E-01
pyrimidine-containing compound biosynthetic process (GO:0072528)	22	8	7.28	+	1.10	4.43E-01
protein insertion into mitochondrial membrane (GO:0051204)	11	4	3.64	+	1.10	4.93E-01
glycoprotein metabolic process (GO:0009100)	77	28	25.48	+	1.10	3.34E-01
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	11	4	3.64	+	1.10	4.93E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	11	4	3.64	+	1.10	4.93E-01
negative regulation of protein modification process (GO:0031400)	11	4	3.64	+	1.10	4.93E-01
pyridine nucleotide metabolic process (GO:0019362)	22	8	7.28	+	1.10	4.43E-01
N-terminal protein amino acid modification (GO:0031365)	11	4	3.64	+	1.10	4.93E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	11	4	3.64	+	1.10	4.93E-01
nicotinamide nucleotide metabolic process (GO:0046496)	22	8	7.28	+	1.10	4.43E-01
sno(s)RNA 3'-end processing (GO:0031126)	11	4	3.64	+	1.10	4.93E-01
cellular response to starvation (GO:0009267)	22	8	7.28	+	1.10	4.43E-01
nucleotide-sugar biosynthetic process (GO:0009226)	22	8	7.28	+	1.10	4.43E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	22	8	7.28	+	1.10	4.43E-01
glycoprotein biosynthetic process (GO:0009101)	69	25	22.83	+	1.09	3.52E-01
response to oxidative stress (GO:0006979)	58	21	19.19	+	1.09	3.69E-01
positive regulation of proteolysis (GO:0045862)	25	9	8.27	+	1.09	4.45E-01
purine-containing compound biosynthetic process (GO:0072522)	64	23	21.18	+	1.09	3.74E-01
phospholipid metabolic process (GO:0006644)	120	43	39.71	+	1.08	3.20E-01
ion transport (GO:0006811)	268	96	88.68	+	1.08	2.29E-01
beta-glucan catabolic process (GO:0051275)	14	5	4.63	+	1.08	4.93E-01
microtubule-based transport (GO:0099111)	14	5	4.63	+	1.08	4.93E-01
nucleobase metabolic process (GO:0009112)	28	10	9.26	+	1.08	4.48E-01
glucosamine-containing compound catabolic process (GO:1901072)	14	5	4.63	+	1.08	4.93E-01
indole-containing compound metabolic process (GO:0042430)	14	5	4.63	+	1.08	4.93E-01
polyol biosynthetic process (GO:0046173)	14	5	4.63	+	1.08	4.93E-01
cellulose catabolic process (GO:0030245)	14	5	4.63	+	1.08	4.93E-01
cellulose metabolic process (GO:0030243)	14	5	4.63	+	1.08	4.93E-01
positive regulation of cell communication (GO:0010647)	14	5	4.63	+	1.08	4.93E-01
amine metabolic process (GO:0009308)	28	10	9.26	+	1.08	4.48E-01
amino sugar catabolic process (GO:0046348)	14	5	4.63	+	1.08	4.93E-01
indolalkylamine metabolic process (GO:0006586)	14	5	4.63	+	1.08	4.93E-01
tryptophan metabolic process (GO:0006568)	14	5	4.63	+	1.08	4.93E-01
ribonucleotide metabolic process (GO:0009259)	101	36	33.42	+	1.08	3.50E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	45	16	14.89	+	1.07	4.21E-01
cellular metal ion homeostasis (GO:0006875)	76	27	25.15	+	1.07	3.82E-01
organophosphate catabolic process (GO:0046434)	31	11	10.26	+	1.07	4.49E-01
establishment of organelle localization (GO:0051656)	48	17	15.88	+	1.07	4.22E-01
protein transmembrane import into intracellular organelle (GO:0044743)	34	12	11.25	+	1.07	4.51E-01
asexual sporulation (GO:0030436)	17	6	5.63	+	1.07	4.93E-01
conidium formation (GO:0048315)	17	6	5.63	+	1.07	4.93E-01
protein maturation (GO:0051604)	51	18	16.88	+	1.07	4.24E-01
cellular developmental process (GO:0048869)	34	12	11.25	+	1.07	4.51E-01
pyrimidine nucleotide metabolic process (GO:0006220)	17	6	5.63	+	1.07	4.93E-01
cell differentiation (GO:0030154)	34	12	11.25	+	1.07	4.51E-01
conidium development (GO:0061794)	17	6	5.63	+	1.07	4.93E-01
establishment of protein localization to membrane (GO:0090150)	57	20	18.86	+	1.06	4.27E-01
positive regulation of kinase activity (GO:0033674)	20	7	6.62	+	1.06	4.92E-01
macromolecule methylation (GO:0043414)	80	28	26.47	+	1.06	4.08E-01
protein polyubiquitination (GO:0000209)	40	14	13.24	+	1.06	4.53E-01
nucleoside diphosphate phosphorylation (GO:0006165)	20	7	6.62	+	1.06	4.92E-01
glucose metabolic process (GO:0006006)	20	7	6.62	+	1.06	4.92E-01
glucan catabolic process (GO:0009251)	20	7	6.62	+	1.06	4.92E-01
methylation (GO:0032259)	126	44	41.69	+	1.06	3.80E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	23	8	7.61	+	1.05	4.92E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	23	8	7.61	+	1.05	4.92E-01
protein targeting to ER (GO:0045047)	23	8	7.61	+	1.05	4.92E-01
gene expression (GO:0010467)	896	311	296.48	+	1.05	1.95E-01
lipid metabolic process (GO:0006629)	317	110	104.89	+	1.05	3.19E-01
regulation of protein modification process (GO:0031399)	75	26	24.82	+	1.05	4.32E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	26	9	8.60	+	1.05	4.91E-01
protein processing (GO:0016485)	26	9	8.60	+	1.05	4.91E-01
metal ion homeostasis (GO:0055065)	78	27	25.81	+	1.05	4.33E-01
protein-containing complex localization (GO:0031503)	55	19	18.20	+	1.04	4.56E-01
cellular biosynthetic process (GO:0044249)	1193	412	394.75	+	1.04	1.82E-01
ion transmembrane transport (GO:0034220)	223	77	73.79	+	1.04	3.68E-01
lipid biosynthetic process (GO:0008610)	174	60	57.58	+	1.04	3.91E-01
biosynthetic process (GO:0009058)	1242	428	410.97	+	1.04	1.89E-01
cellular macromolecule biosynthetic process (GO:0034645)	653	225	216.07	+	1.04	2.74E-01
lipid catabolic process (GO:0016042)	61	21	20.18	+	1.04	4.57E-01
purine nucleotide metabolic process (GO:0006163)	93	32	30.77	+	1.04	4.36E-01
chromatin organization involved in regulation of transcription (GO:0034401)	32	11	10.59	+	1.04	4.90E-01
regulation of phosphorus metabolic process (GO:0051174)	67	23	22.17	+	1.04	4.58E-01
regulation of phosphate metabolic process (GO:0019220)	67	23	22.17	+	1.04	4.58E-01
regulation of protein metabolic process (GO:0051246)	181	62	59.89	+	1.04	4.09E-01
transition metal ion transport (GO:0000041)	38	13	12.57	+	1.03	4.90E-01
macromolecule biosynthetic process (GO:0009059)	664	227	219.71	+	1.03	3.14E-01
purine ribonucleotide metabolic process (GO:0009150)	88	30	29.12	+	1.03	4.60E-01
cellular lipid metabolic process (GO:0044255)	267	91	88.35	+	1.03	4.02E-01
organonitrogen compound metabolic process (GO:1901564)	1603	546	530.42	+	1.03	2.34E-01
protein targeting (GO:0006605)	103	35	34.08	+	1.03	4.60E-01
phosphate-containing compound metabolic process (GO:0006796)	569	193	188.28	+	1.03	3.72E-01
regulation of cellular protein metabolic process (GO:0032268)	171	58	56.58	+	1.03	4.43E-01
RNA processing (GO:0006396)	419	142	138.64	+	1.02	3.97E-01
small molecule metabolic process (GO:0044281)	684	231	226.33	+	1.02	3.83E-01
response to organic substance (GO:0010033)	77	26	25.48	+	1.02	4.85E-01
mitochondrion organization (GO:0007005)	157	53	51.95	+	1.02	4.60E-01
protein metabolic process (GO:0019538)	1135	383	375.56	+	1.02	3.49E-01
organic substance biosynthetic process (GO:1901576)	1170	394	387.14	+	1.02	3.62E-01
phosphorus metabolic process (GO:0006793)	585	197	193.57	+	1.02	4.10E-01
organophosphate biosynthetic process (GO:0090407)	208	70	68.83	+	1.02	4.60E-01
cellular carbohydrate metabolic process (GO:0044262)	113	38	37.39	+	1.02	4.82E-01
cation transport (GO:0006812)	203	68	67.17	+	1.01	4.76E-01
organic substance catabolic process (GO:1901575)	577	193	190.92	+	1.01	4.49E-01
metabolic process (GO:0008152)	3222	1077	1066.13	+	1.01	3.45E-01
cellular nitrogen compound metabolic process (GO:0034641)	1441	481	476.82	+	1.01	4.25E-01
intronic snoRNA processing (GO:0031070)	3	1	.99	+	1.01	6.29E-01
asparagine metabolic process (GO:0006528)	3	1	.99	+	1.01	6.29E-01
chromatin remodeling at centromere (GO:0031055)	3	1	.99	+	1.01	6.29E-01
protein deglycosylation (GO:0006517)	3	1	.99	+	1.01	6.29E-01
glycoprotein catabolic process (GO:0006516)	3	1	.99	+	1.01	6.29E-01
primary alcohol metabolic process (GO:0034308)	3	1	.99	+	1.01	6.29E-01
tRNA wobble position uridine thiolation (GO:0002143)	3	1	.99	+	1.01	6.29E-01
positive regulation of autophagosome assembly (GO:2000786)	3	1	.99	+	1.01	6.29E-01
cellular response to osmotic stress (GO:0071470)	6	2	1.99	+	1.01	5.90E-01
purine ribonucleotide transport (GO:0015868)	6	2	1.99	+	1.01	5.90E-01
cellular heat acclimation (GO:0070370)	3	1	.99	+	1.01	6.29E-01
positive regulation of protein transport (GO:0051222)	6	2	1.99	+	1.01	5.90E-01
pteridine-containing compound biosynthetic process (GO:0042559)	9	3	2.98	+	1.01	5.72E-01
tRNA wobble adenosine to inosine editing (GO:0002100)	3	1	.99	+	1.01	6.29E-01
pyridine-containing compound catabolic process (GO:0072526)	3	1	.99	+	1.01	6.29E-01
response to hydrogen peroxide (GO:0042542)	3	1	.99	+	1.01	6.29E-01
intronic box C/D RNA processing (GO:0034965)	3	1	.99	+	1.01	6.29E-01
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	3	1	.99	+	1.01	6.29E-01
ncRNA 3'-end processing (GO:0043628)	21	7	6.95	+	1.01	5.43E-01
malate transmembrane transport (GO:0071423)	6	2	1.99	+	1.01	5.90E-01
regulation of protein modification by small protein conjugation or removal (GO:1903320)	9	3	2.98	+	1.01	5.72E-01
arginine transport (GO:0015809)	3	1	.99	+	1.01	6.29E-01
basic amino acid transport (GO:0015802)	9	3	2.98	+	1.01	5.72E-01
long-chain fatty acid metabolic process (GO:0001676)	15	5	4.96	+	1.01	5.53E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	18	6	5.96	+	1.01	5.47E-01
nucleoside triphosphate catabolic process (GO:0009143)	3	1	.99	+	1.01	6.29E-01
nucleoside triphosphate metabolic process (GO:0009141)	30	10	9.93	+	1.01	5.33E-01
3,4-dihydroxybenzoate biosynthetic process (GO:0046279)	3	1	.99	+	1.01	6.29E-01
3,4-dihydroxybenzoate metabolic process (GO:0046278)	3	1	.99	+	1.01	6.29E-01
positive regulation of vacuole organization (GO:0044090)	3	1	.99	+	1.01	6.29E-01
positive regulation of cellular component biogenesis (GO:0044089)	27	9	8.93	+	1.01	5.36E-01
propionate metabolic process (GO:0019541)	3	1	.99	+	1.01	6.29E-01
histone H3 deacetylation (GO:0070932)	6	2	1.99	+	1.01	5.90E-01
production of siRNA involved in chromatin silencing by small RNA (GO:0070919)	3	1	.99	+	1.01	6.29E-01
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	9	3	2.98	+	1.01	5.72E-01
pyrimidine-containing compound salvage (GO:0008655)	3	1	.99	+	1.01	6.29E-01
protein methylation (GO:0006479)	45	15	14.89	+	1.01	5.23E-01
catechol-containing compound biosynthetic process (GO:0009713)	3	1	.99	+	1.01	6.29E-01
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	3	1	.99	+	1.01	6.29E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	18	6	5.96	+	1.01	5.47E-01
pyridoxine metabolic process (GO:0008614)	3	1	.99	+	1.01	6.29E-01
positive regulation of protein localization to membrane (GO:1905477)	3	1	.99	+	1.01	6.29E-01
regulation of protein localization to membrane (GO:1905475)	3	1	.99	+	1.01	6.29E-01
cellular response to nitrogen levels (GO:0043562)	6	2	1.99	+	1.01	5.90E-01
