




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of extracellular matrix organization (GO:1903055)	24	4	2.89	+	1.38	3.29E-01
positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	6	1	.72	+	1.38	5.15E-01
nervous system process involved in regulation of systemic arterial blood pressure (GO:0001976)	12	2	1.45	+	1.38	4.24E-01
startle response (GO:0001964)	24	4	2.89	+	1.38	3.29E-01
regulation of epithelial cell proliferation involved in lung morphogenesis (GO:2000794)	6	1	.72	+	1.38	5.15E-01
positive regulation of protein deubiquitination (GO:1903003)	6	1	.72	+	1.38	5.15E-01
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	24	4	2.89	+	1.38	3.29E-01
gamma-aminobutyric acid signaling pathway (GO:0007214)	24	4	2.89	+	1.38	3.29E-01
regulation of serine-type peptidase activity (GO:1902571)	6	1	.72	+	1.38	5.15E-01
negative regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902548)	12	2	1.45	+	1.38	4.24E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	12	2	1.45	+	1.38	4.24E-01
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	6	1	.72	+	1.38	5.15E-01
negative regulation of dendritic cell differentiation (GO:2001199)	6	1	.72	+	1.38	5.15E-01
regulation of dendritic cell differentiation (GO:2001198)	12	2	1.45	+	1.38	4.24E-01
mineralocorticoid biosynthetic process (GO:0006705)	6	1	.72	+	1.38	5.15E-01
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	6	1	.72	+	1.38	5.15E-01
negative regulation of CD8-positive, alpha-beta T cell activation (GO:2001186)	6	1	.72	+	1.38	5.15E-01
myeloid progenitor cell differentiation (GO:0002318)	6	1	.72	+	1.38	5.15E-01
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	6	1	.72	+	1.38	5.15E-01
positive regulation of glomerular mesangial cell proliferation (GO:0072126)	6	1	.72	+	1.38	5.15E-01
regulation of histone H4-K16 acetylation (GO:2000618)	6	1	.72	+	1.38	5.15E-01
regulation of superoxide anion generation (GO:0032928)	24	4	2.89	+	1.38	3.29E-01
galactosylceramide biosynthetic process (GO:0006682)	6	1	.72	+	1.38	5.15E-01
regulation of smooth muscle cell chemotaxis (GO:0071671)	6	1	.72	+	1.38	5.15E-01
negative regulation of MHC class II biosynthetic process (GO:0045347)	6	1	.72	+	1.38	5.15E-01
positive regulation of skeletal muscle cell differentiation (GO:2001016)	6	1	.72	+	1.38	5.15E-01
neutrophil homeostasis (GO:0001780)	12	2	1.45	+	1.38	4.24E-01
plasma membrane repair (GO:0001778)	12	2	1.45	+	1.38	4.24E-01
viral latency (GO:0019042)	12	2	1.45	+	1.38	4.24E-01
negative regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000562)	6	1	.72	+	1.38	5.15E-01
positive regulation of T-helper 1 cell cytokine production (GO:2000556)	6	1	.72	+	1.38	5.15E-01
regulation of T-helper 1 cell cytokine production (GO:2000554)	6	1	.72	+	1.38	5.15E-01
distal tubule development (GO:0072017)	12	2	1.45	+	1.38	4.24E-01
proximal tubule development (GO:0072014)	6	1	.72	+	1.38	5.15E-01
late nucleophagy (GO:0044805)	6	1	.72	+	1.38	5.15E-01
regulation of natural killer cell differentiation (GO:0032823)	12	2	1.45	+	1.38	4.24E-01
positive regulation of apoptotic process involved in morphogenesis (GO:1902339)	6	1	.72	+	1.38	5.15E-01
tyrosine catabolic process (GO:0006572)	6	1	.72	+	1.38	5.15E-01
regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)	6	1	.72	+	1.38	5.15E-01
glycine biosynthetic process (GO:0006545)	6	1	.72	+	1.38	5.15E-01
aspartate metabolic process (GO:0006531)	6	1	.72	+	1.38	5.15E-01
negative regulation of transmission of nerve impulse (GO:0051970)	6	1	.72	+	1.38	5.15E-01
negative regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901895)	6	1	.72	+	1.38	5.15E-01
amino acid neurotransmitter reuptake (GO:0051933)	6	1	.72	+	1.38	5.15E-01
cell proliferation in midbrain (GO:0033278)	6	1	.72	+	1.38	5.15E-01
negative regulation of mitochondrial depolarization (GO:0051902)	6	1	.72	+	1.38	5.15E-01
cell-cell junction maintenance (GO:0045217)	12	2	1.45	+	1.38	4.24E-01
regulation of glycogen (starch) synthase activity (GO:2000465)	6	1	.72	+	1.38	5.15E-01
semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	12	2	1.45	+	1.38	4.24E-01
positive regulation of interleukin-23 production (GO:0032747)	6	1	.72	+	1.38	5.15E-01
regulation of eosinophil migration (GO:2000416)	6	1	.72	+	1.38	5.15E-01
non-canonical Wnt signaling pathway via MAPK cascade (GO:0038030)	6	1	.72	+	1.38	5.15E-01
paracrine signaling (GO:0038001)	6	1	.72	+	1.38	5.15E-01
regulation of intrinsic apoptotic signaling pathway in response to osmotic stress (GO:1902218)	6	1	.72	+	1.38	5.15E-01
cellular response to X-ray (GO:0071481)	12	2	1.45	+	1.38	4.24E-01
glutamate secretion (GO:0014047)	6	1	.72	+	1.38	5.15E-01
diet induced thermogenesis (GO:0002024)	12	2	1.45	+	1.38	4.24E-01
response to dietary excess (GO:0002021)	24	4	2.89	+	1.38	3.29E-01
clustering of voltage-gated sodium channels (GO:0045162)	6	1	.72	+	1.38	5.15E-01
angiotensin maturation (GO:0002003)	12	2	1.45	+	1.38	4.24E-01
regulation of angiotensin levels in blood (GO:0002002)	12	2	1.45	+	1.38	4.24E-01
meiotic telomere clustering (GO:0045141)	6	1	.72	+	1.38	5.15E-01
positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148)	12	2	1.45	+	1.38	4.24E-01
intermediate filament organization (GO:0045109)	24	4	2.89	+	1.38	3.29E-01
tooth eruption (GO:0044691)	6	1	.72	+	1.38	5.15E-01
retinoid metabolic process (GO:0001523)	96	16	11.57	+	1.38	1.26E-01
negative regulation of endothelial cell apoptotic process (GO:2000352)	30	5	3.62	+	1.38	2.97E-01
positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902177)	6	1	.72	+	1.38	5.15E-01
regulation of T-helper 17 cell lineage commitment (GO:2000328)	6	1	.72	+	1.38	5.15E-01
DNA methylation-dependent heterochromatin assembly (GO:0006346)	6	1	.72	+	1.38	5.15E-01
medium-chain fatty acid biosynthetic process (GO:0051792)	6	1	.72	+	1.38	5.15E-01
DNA methylation (GO:0006306)	48	8	5.79	+	1.38	2.27E-01
DNA alkylation (GO:0006305)	48	8	5.79	+	1.38	2.27E-01
positive regulation of immature T cell proliferation (GO:0033091)	6	1	.72	+	1.38	5.15E-01
negative regulation of T cell differentiation in thymus (GO:0033085)	6	1	.72	+	1.38	5.15E-01
regulation of blood coagulation, intrinsic pathway (GO:2000266)	6	1	.72	+	1.38	5.15E-01
regulation of microvillus organization (GO:0032530)	12	2	1.45	+	1.38	4.24E-01
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	12	2	1.45	+	1.38	4.24E-01
maintenance of centrosome location (GO:0051661)	6	1	.72	+	1.38	5.15E-01
cellular response to bacterial lipopeptide (GO:0071221)	6	1	.72	+	1.38	5.15E-01
cellular response to bacterial lipoprotein (GO:0071220)	6	1	.72	+	1.38	5.15E-01
phagosome-lysosome fusion (GO:0090385)	12	2	1.45	+	1.38	4.24E-01
regulation of heart induction (GO:0090381)	6	1	.72	+	1.38	5.15E-01
changes to DNA methylation involved in embryo development (GO:1901538)	6	1	.72	+	1.38	5.15E-01
regulation of DNA demethylation (GO:1901535)	6	1	.72	+	1.38	5.15E-01
negative regulation of cholesterol efflux (GO:0090370)	6	1	.72	+	1.38	5.15E-01
stem cell fate commitment (GO:0048865)	6	1	.72	+	1.38	5.15E-01
forebrain morphogenesis (GO:0048853)	12	2	1.45	+	1.38	4.24E-01
cyclic nucleotide transport (GO:0070729)	6	1	.72	+	1.38	5.15E-01
modification of synaptic structure (GO:0099563)	12	2	1.45	+	1.38	4.24E-01
Cdc42 protein signal transduction (GO:0032488)	6	1	.72	+	1.38	5.15E-01
negative regulation of cytokinesis (GO:0032466)	6	1	.72	+	1.38	5.15E-01
protein oxidation (GO:0018158)	12	2	1.45	+	1.38	4.24E-01
regulation of presynaptic membrane potential (GO:0099505)	6	1	.72	+	1.38	5.15E-01
regulation of sodium:proton antiporter activity (GO:0032415)	6	1	.72	+	1.38	5.15E-01
purine ribonucleoside salvage (GO:0006166)	6	1	.72	+	1.38	5.15E-01
embryonic cleavage (GO:0040016)	6	1	.72	+	1.38	5.15E-01
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	6	1	.72	+	1.38	5.15E-01
isocitrate metabolic process (GO:0006102)	6	1	.72	+	1.38	5.15E-01
positive regulation of keratinocyte migration (GO:0051549)	12	2	1.45	+	1.38	4.24E-01
elastin metabolic process (GO:0051541)	6	1	.72	+	1.38	5.15E-01
negative regulation of chromatin silencing (GO:0031936)	6	1	.72	+	1.38	5.15E-01
positive regulation of inclusion body assembly (GO:0090261)	6	1	.72	+	1.38	5.15E-01
negative regulation of histone H4 acetylation (GO:0090241)	6	1	.72	+	1.38	5.15E-01
regulation of histone H4 acetylation (GO:0090239)	12	2	1.45	+	1.38	4.24E-01
positive regulation of arachidonic acid secretion (GO:0090238)	6	1	.72	+	1.38	5.15E-01
semicircular canal morphogenesis (GO:0048752)	6	1	.72	+	1.38	5.15E-01
negative regulation of astrocyte differentiation (GO:0048712)	12	2	1.45	+	1.38	4.24E-01
negative regulation of non-canonical Wnt signaling pathway (GO:2000051)	6	1	.72	+	1.38	5.15E-01
pentose-phosphate shunt (GO:0006098)	12	2	1.45	+	1.38	4.24E-01
molybdopterin cofactor biosynthetic process (GO:0032324)	6	1	.72	+	1.38	5.15E-01
icosanoid secretion (GO:0032309)	24	4	2.89	+	1.38	3.29E-01
hyaloid vascular plexus regression (GO:1990384)	6	1	.72	+	1.38	5.15E-01
regulation of mesodermal cell differentiation (GO:1905770)	6	1	.72	+	1.38	5.15E-01
galactose metabolic process (GO:0006012)	12	2	1.45	+	1.38	4.24E-01
establishment of epithelial cell polarity (GO:0090162)	30	5	3.62	+	1.38	2.97E-01
equilibrioception (GO:0050957)	6	1	.72	+	1.38	5.15E-01
platelet aggregation (GO:0070527)	42	7	5.06	+	1.38	2.47E-01
telomere organization (GO:0032200)	90	15	10.85	+	1.38	1.35E-01
modulation of inhibitory postsynaptic potential (GO:0098828)	6	1	.72	+	1.38	5.15E-01
regulation of protein deubiquitination (GO:0090085)	12	2	1.45	+	1.38	4.24E-01
positive regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901228)	6	1	.72	+	1.38	5.15E-01
positive regulation of behavior (GO:0048520)	24	4	2.89	+	1.38	3.29E-01
positive regulation of mitophagy in response to mitochondrial depolarization (GO:0098779)	6	1	.72	+	1.38	5.15E-01
regulation of trophoblast cell migration (GO:1901163)	12	2	1.45	+	1.38	4.24E-01
primary amino compound metabolic process (GO:1901160)	12	2	1.45	+	1.38	4.24E-01
release of sequestered calcium ion into cytosol (GO:0051209)	42	7	5.06	+	1.38	2.47E-01
negative regulation of fat cell proliferation (GO:0070345)	6	1	.72	+	1.38	5.15E-01
response to bacterial lipopeptide (GO:0070339)	6	1	.72	+	1.38	5.15E-01
positive regulation of vacuole organization (GO:0044090)	12	2	1.45	+	1.38	4.24E-01
regulation of postsynaptic neurotransmitter receptor internalization (GO:0099149)	12	2	1.45	+	1.38	4.24E-01
prosthetic group metabolic process (GO:0051189)	6	1	.72	+	1.38	5.15E-01
COPI-coated vesicle budding (GO:0035964)	6	1	.72	+	1.38	5.15E-01
maintenance of DNA repeat elements (GO:0043570)	6	1	.72	+	1.38	5.15E-01
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	6	1	.72	+	1.38	5.15E-01
positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)	6	1	.72	+	1.38	5.15E-01
inorganic anion transmembrane transport (GO:0098661)	84	14	10.13	+	1.38	1.44E-01
hemidesmosome assembly (GO:0031581)	12	2	1.45	+	1.38	4.24E-01
regulation of autophagosome maturation (GO:1901096)	12	2	1.45	+	1.38	4.24E-01
molybdopterin cofactor metabolic process (GO:0043545)	6	1	.72	+	1.38	5.15E-01
regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905449)	6	1	.72	+	1.38	5.15E-01
regulation of NK T cell differentiation (GO:0051136)	6	1	.72	+	1.38	5.15E-01
lateral mesoderm development (GO:0048368)	12	2	1.45	+	1.38	4.24E-01
regulation of macrophage proliferation (GO:0120040)	6	1	.72	+	1.38	5.15E-01
modulation by symbiont of host autophagy (GO:0075071)	6	1	.72	+	1.38	5.15E-01
positive regulation by symbiont of host autophagy (GO:0075044)	6	1	.72	+	1.38	5.15E-01
observational learning (GO:0098597)	6	1	.72	+	1.38	5.15E-01
imitative learning (GO:0098596)	6	1	.72	+	1.38	5.15E-01
proton-transporting ATP synthase complex assembly (GO:0043461)	6	1	.72	+	1.38	5.15E-01
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)	6	1	.72	+	1.38	5.15E-01
peptidyl-diphthamide metabolic process (GO:0017182)	6	1	.72	+	1.38	5.15E-01
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	6	1	.72	+	1.38	5.15E-01
activation of Janus kinase activity (GO:0042976)	6	1	.72	+	1.38	5.15E-01
inhibitory synapse assembly (GO:1904862)	12	2	1.45	+	1.38	4.24E-01
lipoprotein transport (GO:0042953)	12	2	1.45	+	1.38	4.24E-01
RNA (guanine-N7)-methylation (GO:0036265)	6	1	.72	+	1.38	5.15E-01
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	12	2	1.45	+	1.38	4.24E-01
COPI coating of Golgi vesicle (GO:0048205)	6	1	.72	+	1.38	5.15E-01
Golgi transport vesicle coating (GO:0048200)	6	1	.72	+	1.38	5.15E-01
regulation of glutamate receptor signaling pathway (GO:1900449)	6	1	.72	+	1.38	5.15E-01
regulation of memory T cell differentiation (GO:0043380)	12	2	1.45	+	1.38	4.24E-01
respiratory chain complex III assembly (GO:0017062)	6	1	.72	+	1.38	5.15E-01
methylglyoxal metabolic process (GO:0009438)	6	1	.72	+	1.38	5.15E-01
positive regulation of core promoter binding (GO:1904798)	6	1	.72	+	1.38	5.15E-01
positive regulation of apoptotic process involved in development (GO:1904747)	6	1	.72	+	1.38	5.15E-01
histone dephosphorylation (GO:0016576)	6	1	.72	+	1.38	5.15E-01
inactivation of MAPK activity (GO:0000188)	24	4	2.89	+	1.38	3.29E-01
positive regulation of double-strand break repair via homologous recombination (GO:1905168)	12	2	1.45	+	1.38	4.24E-01
bone mineralization involved in bone maturation (GO:0035630)	6	1	.72	+	1.38	5.15E-01
positive regulation of pseudopodium assembly (GO:0031274)	12	2	1.45	+	1.38	4.24E-01
oligosaccharide biosynthetic process (GO:0009312)	30	5	3.62	+	1.38	2.97E-01
5S class rRNA transcription by RNA polymerase III (GO:0042791)	6	1	.72	+	1.38	5.15E-01
regulation of metalloendopeptidase activity (GO:1904683)	6	1	.72	+	1.38	5.15E-01
cellular response to interleukin-3 (GO:0036016)	6	1	.72	+	1.38	5.15E-01
response to interleukin-3 (GO:0036015)	6	1	.72	+	1.38	5.15E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	6	1	.72	+	1.38	5.15E-01
induction of bacterial agglutination (GO:0043152)	6	1	.72	+	1.38	5.15E-01
positive regulation of metallopeptidase activity (GO:1905050)	6	1	.72	+	1.38	5.15E-01
tRNA pseudouridine synthesis (GO:0031119)	6	1	.72	+	1.38	5.15E-01
regulation of microtubule depolymerization (GO:0031114)	30	5	3.62	+	1.38	2.97E-01
negative regulation of protein import (GO:1904590)	12	2	1.45	+	1.38	4.24E-01
positive regulation of microtubule binding (GO:1904528)	6	1	.72	+	1.38	5.15E-01
regulation of nodal signaling pathway (GO:1900107)	6	1	.72	+	1.38	5.15E-01
motor learning (GO:0061743)	6	1	.72	+	1.38	5.15E-01
DNA methylation involved in embryo development (GO:0043045)	6	1	.72	+	1.38	5.15E-01
purine deoxyribonucleoside monophosphate catabolic process (GO:0009172)	6	1	.72	+	1.38	5.15E-01
leucine transport (GO:0015820)	6	1	.72	+	1.38	5.15E-01
double-strand break repair via classical nonhomologous end joining (GO:0097680)	6	1	.72	+	1.38	5.15E-01
regulation of matrix metallopeptidase secretion (GO:1904464)	6	1	.72	+	1.38	5.15E-01
hemoglobin biosynthetic process (GO:0042541)	6	1	.72	+	1.38	5.15E-01
positive regulation of lipoprotein particle clearance (GO:0010986)	6	1	.72	+	1.38	5.15E-01
attachment of GPI anchor to protein (GO:0016255)	6	1	.72	+	1.38	5.15E-01
mitochondrial ribosome assembly (GO:0061668)	6	1	.72	+	1.38	5.15E-01
regulation of serine-type endopeptidase activity (GO:1900003)	6	1	.72	+	1.38	5.15E-01
regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	6	1	.72	+	1.38	5.15E-01
positive regulation of microglial cell activation (GO:1903980)	6	1	.72	+	1.38	5.15E-01
chemorepulsion of axon (GO:0061643)	6	1	.72	+	1.38	5.15E-01
response to sodium arsenite (GO:1903935)	6	1	.72	+	1.38	5.15E-01
nucleotide-sugar transmembrane transport (GO:0015780)	12	2	1.45	+	1.38	4.24E-01
glucose-6-phosphate transport (GO:0015760)	6	1	.72	+	1.38	5.15E-01
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073)	6	1	.72	+	1.38	5.15E-01
Purkinje myocyte to ventricular cardiac muscle cell communication (GO:0086068)	6	1	.72	+	1.38	5.15E-01
hexose phosphate transport (GO:0015712)	6	1	.72	+	1.38	5.15E-01
glycolipid transport (GO:0046836)	6	1	.72	+	1.38	5.15E-01
negative regulation of protein export from nucleus (GO:0046826)	6	1	.72	+	1.38	5.15E-01
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	24	4	2.89	+	1.38	3.29E-01
negative regulation of sequestering of triglyceride (GO:0010891)	6	1	.72	+	1.38	5.15E-01
snRNA processing (GO:0016180)	24	4	2.89	+	1.38	3.29E-01
terpenoid catabolic process (GO:0016115)	6	1	.72	+	1.38	5.15E-01
oxygen transport (GO:0015671)	12	2	1.45	+	1.38	4.24E-01
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	12	2	1.45	+	1.38	4.24E-01
positive regulation of neuroinflammatory response (GO:0150078)	12	2	1.45	+	1.38	4.24E-01
neuroinflammatory response (GO:0150076)	6	1	.72	+	1.38	5.15E-01
response to histamine (GO:0034776)	12	2	1.45	+	1.38	4.24E-01
histone H4-K20 trimethylation (GO:0034773)	6	1	.72	+	1.38	5.15E-01
iron ion transmembrane transport (GO:0034755)	12	2	1.45	+	1.38	4.24E-01
negative regulation of macrophage chemotaxis (GO:0010760)	6	1	.72	+	1.38	5.15E-01
negative regulation of protein import into nucleus (GO:0042308)	12	2	1.45	+	1.38	4.24E-01
negative regulation of plasminogen activation (GO:0010757)	6	1	.72	+	1.38	5.15E-01
positive regulation of plasminogen activation (GO:0010756)	6	1	.72	+	1.38	5.15E-01
CDP-diacylglycerol biosynthetic process (GO:0016024)	12	2	1.45	+	1.38	4.24E-01
T follicular helper cell differentiation (GO:0061470)	6	1	.72	+	1.38	5.15E-01
guanine nucleotide transmembrane transport (GO:1903790)	6	1	.72	+	1.38	5.15E-01
cardiac vascular smooth muscle cell differentiation (GO:0060947)	6	1	.72	+	1.38	5.15E-01
vocal learning (GO:0042297)	6	1	.72	+	1.38	5.15E-01
positive regulation of macrophage cytokine production (GO:0060907)	12	2	1.45	+	1.38	4.24E-01
positive regulation of alkaline phosphatase activity (GO:0010694)	6	1	.72	+	1.38	5.15E-01
response to antineoplastic agent (GO:0097327)	6	1	.72	+	1.38	5.15E-01
plasma membrane tubulation (GO:0097320)	12	2	1.45	+	1.38	4.24E-01
cardiac muscle cell apoptotic process (GO:0010659)	6	1	.72	+	1.38	5.15E-01
striated muscle cell apoptotic process (GO:0010658)	6	1	.72	+	1.38	5.15E-01
regulation of Schwann cell proliferation (GO:0010624)	6	1	.72	+	1.38	5.15E-01
BMP signaling pathway involved in heart development (GO:0061312)	6	1	.72	+	1.38	5.15E-01
development of secondary female sexual characteristics (GO:0046543)	6	1	.72	+	1.38	5.15E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	6	1	.72	+	1.38	5.15E-01
mitochondrial respirasome assembly (GO:0097250)	6	1	.72	+	1.38	5.15E-01
miRNA catabolic process (GO:0010587)	6	1	.72	+	1.38	5.15E-01
pancreatic juice secretion (GO:0030157)	6	1	.72	+	1.38	5.15E-01
regulation of collagen fibril organization (GO:1904026)	6	1	.72	+	1.38	5.15E-01
cellular response to gonadotropin-releasing hormone (GO:0097211)	6	1	.72	+	1.38	5.15E-01
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	12	2	1.45	+	1.38	4.24E-01
lipid hydroxylation (GO:0002933)	6	1	.72	+	1.38	5.15E-01
negative regulation of phospholipase activity (GO:0010519)	6	1	.72	+	1.38	5.15E-01
positive regulation of gap junction assembly (GO:1903598)	6	1	.72	+	1.38	5.15E-01
RNA secondary structure unwinding (GO:0010501)	6	1	.72	+	1.38	5.15E-01
negative regulation of blood circulation (GO:1903523)	24	4	2.89	+	1.38	3.29E-01
Mo-molybdopterin cofactor metabolic process (GO:0019720)	6	1	.72	+	1.38	5.15E-01
chorio-allantoic fusion (GO:0060710)	6	1	.72	+	1.38	5.15E-01
urate metabolic process (GO:0046415)	12	2	1.45	+	1.38	4.24E-01
positive regulation of inhibitory postsynaptic potential (GO:0097151)	6	1	.72	+	1.38	5.15E-01
gastro-intestinal system smooth muscle contraction (GO:0014831)	6	1	.72	+	1.38	5.15E-01
regulation of somitogenesis (GO:0014807)	6	1	.72	+	1.38	5.15E-01
fungiform papilla development (GO:0061196)	6	1	.72	+	1.38	5.15E-01
negative regulation of T-helper 1 type immune response (GO:0002826)	6	1	.72	+	1.38	5.15E-01
negative regulation of calcium ion-dependent exocytosis (GO:0045955)	6	1	.72	+	1.38	5.15E-01
negative regulation of vasoconstriction (GO:0045906)	6	1	.72	+	1.38	5.15E-01
anterior commissure morphogenesis (GO:0021960)	6	1	.72	+	1.38	5.15E-01
neutrophil extravasation (GO:0072672)	6	1	.72	+	1.38	5.15E-01
mechanosensory behavior (GO:0007638)	12	2	1.45	+	1.38	4.24E-01
regulation of prostatic bud formation (GO:0060685)	6	1	.72	+	1.38	5.15E-01
rhythmic behavior (GO:0007622)	24	4	2.89	+	1.38	3.29E-01
negative regulation of smooth muscle cell apoptotic process (GO:0034392)	6	1	.72	+	1.38	5.15E-01
presynaptic membrane organization (GO:0097090)	12	2	1.45	+	1.38	4.24E-01
plasma lipoprotein particle remodeling (GO:0034369)	30	5	3.62	+	1.38	2.97E-01
protein-lipid complex remodeling (GO:0034368)	30	5	3.62	+	1.38	2.97E-01
glial cell apoptotic process (GO:0034349)	6	1	.72	+	1.38	5.15E-01
negative regulation of Arp2/3 complex-mediated actin nucleation (GO:0034316)	6	1	.72	+	1.38	5.15E-01
primary alcohol catabolic process (GO:0034310)	12	2	1.45	+	1.38	4.24E-01
positive regulation of natural killer cell cytokine production (GO:0002729)	6	1	.72	+	1.38	5.15E-01
nucleoside bisphosphate catabolic process (GO:0033869)	6	1	.72	+	1.38	5.15E-01
positive regulation of NAD(P)H oxidase activity (GO:0033864)	6	1	.72	+	1.38	5.15E-01
uterus morphogenesis (GO:0061038)	6	1	.72	+	1.38	5.15E-01
positive regulation of cartilage development (GO:0061036)	30	5	3.62	+	1.38	2.97E-01
positive regulation of fear response (GO:1903367)	6	1	.72	+	1.38	5.15E-01
L-ornithine transmembrane transport (GO:1903352)	6	1	.72	+	1.38	5.15E-01
regulation of protein folding (GO:1903332)	12	2	1.45	+	1.38	4.24E-01
cell motility involved in cerebral cortex radial glia guided migration (GO:0021814)	6	1	.72	+	1.38	5.15E-01
tricuspid valve development (GO:0003175)	6	1	.72	+	1.38	5.15E-01
His-Purkinje system development (GO:0003164)	6	1	.72	+	1.38	5.15E-01
purine-containing compound transmembrane transport (GO:0072530)	24	4	2.89	+	1.38	3.29E-01
seminiferous tubule development (GO:0072520)	12	2	1.45	+	1.38	4.24E-01
respiratory burst (GO:0045730)	18	3	2.17	+	1.38	3.69E-01
negative regulation of oxidative stress-induced neuron death (GO:1903204)	18	3	2.17	+	1.38	3.69E-01
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	18	3	2.17	+	1.38	3.69E-01
proton transmembrane transport (GO:1902600)	108	18	13.02	+	1.38	1.10E-01
positive regulation of cation channel activity (GO:2001259)	66	11	7.96	+	1.38	1.79E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	54	9	6.51	+	1.38	2.09E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	54	9	6.51	+	1.38	2.09E-01
secretion by tissue (GO:0032941)	18	3	2.17	+	1.38	3.69E-01
vocalization behavior (GO:0071625)	18	3	2.17	+	1.38	3.69E-01
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)	18	3	2.17	+	1.38	3.69E-01
tRNA wobble base modification (GO:0002097)	18	3	2.17	+	1.38	3.69E-01
sprouting angiogenesis (GO:0002040)	54	9	6.51	+	1.38	2.09E-01
negative regulation of interleukin-10 production (GO:0032693)	18	3	2.17	+	1.38	3.69E-01
cellular response to cholesterol (GO:0071397)	18	3	2.17	+	1.38	3.69E-01
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	18	3	2.17	+	1.38	3.69E-01
ethanol metabolic process (GO:0006067)	18	3	2.17	+	1.38	3.69E-01
response to glucocorticoid (GO:0051384)	144	24	17.36	+	1.38	7.46E-02
kinetochore organization (GO:0051383)	18	3	2.17	+	1.38	3.69E-01
anatomical structure arrangement (GO:0048532)	18	3	2.17	+	1.38	3.69E-01
steroid hormone biosynthetic process (GO:0120178)	36	6	4.34	+	1.38	2.70E-01
regulation of renal sodium excretion (GO:0035813)	18	3	2.17	+	1.38	3.69E-01
negative regulation of B cell proliferation (GO:0030889)	18	3	2.17	+	1.38	3.69E-01
regulation of amyloid-beta clearance (GO:1900221)	18	3	2.17	+	1.38	3.69E-01
mRNA transcription (GO:0009299)	18	3	2.17	+	1.38	3.69E-01
regulation of protein import (GO:1904589)	66	11	7.96	+	1.38	1.79E-01
organic hydroxy compound transport (GO:0015850)	144	24	17.36	+	1.38	7.46E-02
hair cell differentiation (GO:0035315)	36	6	4.34	+	1.38	2.70E-01
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	36	6	4.34	+	1.38	2.70E-01
diterpenoid metabolic process (GO:0016101)	102	17	12.30	+	1.38	1.17E-01
positive regulation of macrophage chemotaxis (GO:0010759)	18	3	2.17	+	1.38	3.69E-01
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	18	3	2.17	+	1.38	3.69E-01
negative regulation of gene expression, epigenetic (GO:0045814)	54	9	6.51	+	1.38	2.09E-01
body fluid secretion (GO:0007589)	66	11	7.96	+	1.38	1.79E-01
neuroepithelial cell differentiation (GO:0060563)	18	3	2.17	+	1.38	3.69E-01
import into cell (GO:0098657)	169	28	20.37	+	1.37	6.16E-02
