




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	cyano_background_go.txt (Synechocystis)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	cyano_background_go.txt - REFLIST (568)	upload_1 (144)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
nitrate transport (GO:0015706)	6	2	1.52	+	1.31	4.50E-01
membrane lipid biosynthetic process (GO:0046467)	6	2	1.52	+	1.31	4.50E-01
methionine biosynthetic process (GO:0009086)	3	1	.76	+	1.31	5.34E-01
cellular polysaccharide metabolic process (GO:0044264)	6	2	1.52	+	1.31	4.50E-01
inorganic ion homeostasis (GO:0098771)	3	1	.76	+	1.31	5.34E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	3	1	.76	+	1.31	5.34E-01
regulation of macromolecule biosynthetic process (GO:0010556)	15	5	3.80	+	1.31	3.32E-01
sulfate assimilation (GO:0000103)	3	1	.76	+	1.31	5.34E-01
potassium ion transmembrane transport (GO:0071805)	3	1	.76	+	1.31	5.34E-01
cellular homeostasis (GO:0019725)	3	1	.76	+	1.31	5.34E-01
cellular polysaccharide biosynthetic process (GO:0033692)	3	1	.76	+	1.31	5.34E-01
glucose metabolic process (GO:0006006)	6	2	1.52	+	1.31	4.50E-01
glycolipid metabolic process (GO:0006664)	6	2	1.52	+	1.31	4.50E-01
AMP metabolic process (GO:0046033)	3	1	.76	+	1.31	5.34E-01
glycosyl compound biosynthetic process (GO:1901659)	3	1	.76	+	1.31	5.34E-01
membrane lipid metabolic process (GO:0006643)	6	2	1.52	+	1.31	4.50E-01
ion homeostasis (GO:0050801)	3	1	.76	+	1.31	5.34E-01
sulfur amino acid metabolic process (GO:0000096)	6	2	1.52	+	1.31	4.50E-01
DNA conformation change (GO:0071103)	9	3	2.28	+	1.31	4.00E-01
chemical homeostasis (GO:0048878)	3	1	.76	+	1.31	5.34E-01
rhythmic process (GO:0048511)	3	1	.76	+	1.31	5.34E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	3	1	.76	+	1.31	5.34E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	15	5	3.80	+	1.31	3.32E-01
chromosome organization (GO:0051276)	9	3	2.28	+	1.31	4.00E-01
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	6	2	1.52	+	1.31	4.50E-01
purine nucleoside bisphosphate metabolic process (GO:0034032)	6	2	1.52	+	1.31	4.50E-01
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	6	2	1.52	+	1.31	4.50E-01
protein splicing (GO:0030908)	3	1	.76	+	1.31	5.34E-01
glycolipid biosynthetic process (GO:0009247)	6	2	1.52	+	1.31	4.50E-01
aerobic electron transport chain (GO:0019646)	3	1	.76	+	1.31	5.34E-01
mismatch repair (GO:0006298)	3	1	.76	+	1.31	5.34E-01
DNA repair (GO:0006281)	27	9	6.85	+	1.31	2.47E-01
negative regulation of metabolic process (GO:0009892)	6	2	1.52	+	1.31	4.50E-01
negative regulation of biosynthetic process (GO:0009890)	3	1	.76	+	1.31	5.34E-01
regulation of biosynthetic process (GO:0009889)	15	5	3.80	+	1.31	3.32E-01
regulation of primary metabolic process (GO:0080090)	15	5	3.80	+	1.31	3.32E-01
ribonucleoside bisphosphate metabolic process (GO:0033875)	6	2	1.52	+	1.31	4.50E-01
nucleoside bisphosphate biosynthetic process (GO:0033866)	6	2	1.52	+	1.31	4.50E-01
nucleoside bisphosphate metabolic process (GO:0033865)	6	2	1.52	+	1.31	4.50E-01
negative regulation of cellular biosynthetic process (GO:0031327)	3	1	.76	+	1.31	5.34E-01
regulation of cellular biosynthetic process (GO:0031326)	15	5	3.80	+	1.31	3.32E-01
L-serine metabolic process (GO:0006563)	3	1	.76	+	1.31	5.34E-01
methionine metabolic process (GO:0006555)	3	1	.76	+	1.31	5.34E-01
circadian rhythm (GO:0007623)	3	1	.76	+	1.31	5.34E-01
anion transport (GO:0006820)	15	5	3.80	+	1.31	3.32E-01
potassium ion transport (GO:0006813)	3	1	.76	+	1.31	5.34E-01
tetrapyrrole metabolic process (GO:0033013)	31	10	7.86	+	1.27	2.62E-01
cellular response to DNA damage stimulus (GO:0006974)	28	9	7.10	+	1.27	2.81E-01
alpha-amino acid metabolic process (GO:1901605)	50	16	12.68	+	1.26	1.99E-01
porphyrin-containing compound metabolic process (GO:0006778)	22	7	5.58	+	1.26	3.25E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	55	17	13.94	+	1.22	2.30E-01
nucleotide biosynthetic process (GO:0009165)	39	12	9.89	+	1.21	2.86E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	13	4	3.30	+	1.21	4.19E-01
regulation of transcription, DNA-templated (GO:0006355)	13	4	3.30	+	1.21	4.19E-01
regulation of nucleic acid-templated transcription (GO:1903506)	13	4	3.30	+	1.21	4.19E-01
regulation of RNA metabolic process (GO:0051252)	13	4	3.30	+	1.21	4.19E-01
nucleoside phosphate biosynthetic process (GO:1901293)	39	12	9.89	+	1.21	2.86E-01
phosphorylation (GO:0016310)	26	8	6.59	+	1.21	3.39E-01
cellular modified amino acid metabolic process (GO:0006575)	13	4	3.30	+	1.21	4.19E-01
regulation of RNA biosynthetic process (GO:2001141)	13	4	3.30	+	1.21	4.19E-01
DNA metabolic process (GO:0006259)	36	11	9.13	+	1.21	3.06E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	59	18	14.96	+	1.20	2.38E-01
nucleoside monophosphate metabolic process (GO:0009123)	23	7	5.83	+	1.20	3.66E-01
photosynthesis (GO:0015979)	76	23	19.27	+	1.19	2.11E-01
ribonucleoside monophosphate biosynthetic process (GO:0009156)	20	6	5.07	+	1.18	3.97E-01
nucleoside monophosphate biosynthetic process (GO:0009124)	20	6	5.07	+	1.18	3.97E-01
tetrapyrrole biosynthetic process (GO:0033014)	30	9	7.61	+	1.18	3.51E-01
response to extracellular stimulus (GO:0009991)	10	3	2.54	+	1.18	4.66E-01
ATP metabolic process (GO:0046034)	20	6	5.07	+	1.18	3.97E-01
cellular response to external stimulus (GO:0071496)	10	3	2.54	+	1.18	4.66E-01
cellular response to extracellular stimulus (GO:0031668)	10	3	2.54	+	1.18	4.66E-01
catabolic process (GO:0009056)	34	10	8.62	+	1.16	3.61E-01
organic substance catabolic process (GO:1901575)	34	10	8.62	+	1.16	3.61E-01
heterocycle biosynthetic process (GO:0018130)	116	34	29.41	+	1.16	1.97E-01
aromatic compound biosynthetic process (GO:0019438)	113	33	28.65	+	1.15	2.08E-01
nucleotide metabolic process (GO:0009117)	48	14	12.17	+	1.15	3.32E-01
nucleoside phosphate metabolic process (GO:0006753)	48	14	12.17	+	1.15	3.32E-01
cellular response to stress (GO:0033554)	31	9	7.86	+	1.15	3.87E-01
alpha-amino acid biosynthetic process (GO:1901607)	38	11	9.63	+	1.14	3.70E-01
organophosphate biosynthetic process (GO:0090407)	59	17	14.96	+	1.14	3.26E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	7	2	1.77	+	1.13	5.31E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	21	6	5.32	+	1.13	4.42E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	7	2	1.77	+	1.13	5.31E-01
nitrogen cycle metabolic process (GO:0071941)	7	2	1.77	+	1.13	5.31E-01
nucleoside diphosphate phosphorylation (GO:0006165)	7	2	1.77	+	1.13	5.31E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	21	6	5.32	+	1.13	4.42E-01
ATP generation from ADP (GO:0006757)	7	2	1.77	+	1.13	5.31E-01
monosaccharide metabolic process (GO:0005996)	7	2	1.77	+	1.13	5.31E-01
serine family amino acid metabolic process (GO:0009069)	7	2	1.77	+	1.13	5.31E-01
glycolytic process (GO:0006096)	7	2	1.77	+	1.13	5.31E-01
cellular aldehyde metabolic process (GO:0006081)	7	2	1.77	+	1.13	5.31E-01
cell communication (GO:0007154)	14	4	3.55	+	1.13	4.75E-01
liposaccharide metabolic process (GO:1903509)	7	2	1.77	+	1.13	5.31E-01
ADP metabolic process (GO:0046031)	7	2	1.77	+	1.13	5.31E-01
negative regulation of biological process (GO:0048519)	7	2	1.77	+	1.13	5.31E-01
hexose metabolic process (GO:0019318)	7	2	1.77	+	1.13	5.31E-01
nucleotide phosphorylation (GO:0046939)	7	2	1.77	+	1.13	5.31E-01
organonitrogen compound catabolic process (GO:1901565)	14	4	3.55	+	1.13	4.75E-01
peptidyl-amino acid modification (GO:0018193)	7	2	1.77	+	1.13	5.31E-01
cellular nitrogen compound metabolic process (GO:0034641)	221	63	56.03	+	1.12	1.35E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	166	47	42.08	+	1.12	2.08E-01
organic cyclic compound biosynthetic process (GO:1901362)	124	35	31.44	+	1.11	2.65E-01
ribonucleotide biosynthetic process (GO:0009260)	32	9	8.11	+	1.11	4.24E-01
heterocycle metabolic process (GO:0046483)	189	53	47.92	+	1.11	2.08E-01
cellular aromatic compound metabolic process (GO:0006725)	187	52	47.41	+	1.10	2.33E-01
cellular response to stimulus (GO:0051716)	36	10	9.13	+	1.10	4.30E-01
response to stress (GO:0006950)	36	10	9.13	+	1.10	4.30E-01
carbohydrate biosynthetic process (GO:0016051)	18	5	4.56	+	1.10	4.82E-01
nucleobase-containing compound metabolic process (GO:0006139)	130	36	32.96	+	1.09	3.02E-01
pigment metabolic process (GO:0042440)	29	8	7.35	+	1.09	4.55E-01
ribonucleotide metabolic process (GO:0009259)	40	11	10.14	+	1.08	4.35E-01
phosphorus metabolic process (GO:0006793)	91	25	23.07	+	1.08	3.64E-01
cellular amino acid biosynthetic process (GO:0008652)	51	14	12.93	+	1.08	4.19E-01
cellular component macromolecule biosynthetic process (GO:0070589)	11	3	2.79	+	1.08	5.30E-01
regulation of metabolic process (GO:0019222)	22	6	5.58	+	1.08	4.86E-01
regulation of cell shape (GO:0008360)	11	3	2.79	+	1.08	5.30E-01
phosphate-containing compound metabolic process (GO:0006796)	88	24	22.31	+	1.08	3.83E-01
glycosaminoglycan biosynthetic process (GO:0006024)	11	3	2.79	+	1.08	5.30E-01
aminoglycan biosynthetic process (GO:0006023)	11	3	2.79	+	1.08	5.30E-01
organic cyclic compound metabolic process (GO:1901360)	198	54	50.20	+	1.08	2.80E-01
response to external stimulus (GO:0009605)	11	3	2.79	+	1.08	5.30E-01
energy derivation by oxidation of organic compounds (GO:0015980)	22	6	5.58	+	1.08	4.86E-01
peptidoglycan-based cell wall biogenesis (GO:0009273)	11	3	2.79	+	1.08	5.30E-01
peptidoglycan biosynthetic process (GO:0009252)	11	3	2.79	+	1.08	5.30E-01
cell wall biogenesis (GO:0042546)	11	3	2.79	+	1.08	5.30E-01
regulation of developmental process (GO:0050793)	11	3	2.79	+	1.08	5.30E-01
cell wall macromolecule biosynthetic process (GO:0044038)	11	3	2.79	+	1.08	5.30E-01
cell wall macromolecule metabolic process (GO:0044036)	11	3	2.79	+	1.08	5.30E-01
regulation of cell morphogenesis (GO:0022604)	11	3	2.79	+	1.08	5.30E-01
regulation of anatomical structure morphogenesis (GO:0022603)	11	3	2.79	+	1.08	5.30E-01
ribose phosphate biosynthetic process (GO:0046390)	33	9	8.37	+	1.08	4.60E-01
cellular amino acid metabolic process (GO:0006520)	85	23	21.55	+	1.07	4.02E-01
response to stimulus (GO:0050896)	41	11	10.39	+	1.06	4.68E-01
ribose phosphate metabolic process (GO:0019693)	41	11	10.39	+	1.06	4.68E-01
nitrogen compound metabolic process (GO:0006807)	325	87	82.39	+	1.06	2.45E-01
cellular macromolecule metabolic process (GO:0044260)	142	38	36.00	+	1.06	3.81E-01
organophosphate metabolic process (GO:0019637)	71	19	18.00	+	1.06	4.38E-01
cellular metabolic process (GO:0044237)	434	116	110.03	+	1.05	1.41E-01
aromatic amino acid family biosynthetic process (GO:0009073)	15	4	3.80	+	1.05	5.29E-01
chlorophyll biosynthetic process (GO:0015995)	15	4	3.80	+	1.05	5.29E-01
chlorophyll metabolic process (GO:0015994)	15	4	3.80	+	1.05	5.29E-01
organonitrogen compound metabolic process (GO:1901564)	267	71	67.69	+	1.05	3.19E-01
organic substance metabolic process (GO:0071704)	382	101	96.85	+	1.04	2.60E-01
metabolic process (GO:0008152)	458	121	116.11	+	1.04	1.78E-01
organonitrogen compound biosynthetic process (GO:1901566)	206	54	52.23	+	1.03	4.10E-01
regulation of biological process (GO:0050789)	42	11	10.65	+	1.03	5.01E-01
cellular process (GO:0009987)	491	127	124.48	+	1.02	3.20E-01
primary metabolic process (GO:0044238)	307	79	77.83	+	1.02	4.56E-01
biological_process (GO:0008150)	521	134	132.08	+	1.01	3.47E-01
purine nucleotide metabolic process (GO:0006163)	35	9	8.87	+	1.01	5.31E-01
purine-containing compound metabolic process (GO:0072521)	35	9	8.87	+	1.01	5.31E-01
ion transport (GO:0006811)	35	9	8.87	+	1.01	5.31E-01
ribonucleoside diphosphate metabolic process (GO:0009185)	8	2	2.03	-	.99	6.69E-01
thioester biosynthetic process (GO:0035384)	4	1	1.01	-	.99	7.31E-01
thioester metabolic process (GO:0035383)	4	1	1.01	-	.99	7.31E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	8	2	2.03	-	.99	6.69E-01
nucleoside triphosphate metabolic process (GO:0009141)	8	2	2.03	-	.99	6.69E-01
acyl-CoA biosynthetic process (GO:0071616)	4	1	1.01	-	.99	7.31E-01
purine nucleobase biosynthetic process (GO:0009113)	4	1	1.01	-	.99	7.31E-01
cytochrome complex assembly (GO:0017004)	4	1	1.01	-	.99	7.31E-01
signaling (GO:0023052)	4	1	1.01	-	.99	7.31E-01
NAD biosynthetic process (GO:0009435)	4	1	1.01	-	.99	7.31E-01
purine nucleotide biosynthetic process (GO:0006164)	28	7	7.10	-	.99	5.84E-01
purine nucleobase metabolic process (GO:0006144)	4	1	1.01	-	.99	7.31E-01
flavin-containing compound biosynthetic process (GO:0042727)	4	1	1.01	-	.99	7.31E-01
flavin-containing compound metabolic process (GO:0042726)	4	1	1.01	-	.99	7.31E-01
riboflavin metabolic process (GO:0006771)	4	1	1.01	-	.99	7.31E-01
pigment biosynthetic process (GO:0046148)	28	7	7.10	-	.99	5.84E-01
nicotinamide nucleotide metabolic process (GO:0046496)	4	1	1.01	-	.99	7.31E-01
light-independent chlorophyll biosynthetic process (GO:0036068)	4	1	1.01	-	.99	7.31E-01
NADPH regeneration (GO:0006740)	4	1	1.01	-	.99	7.31E-01
NADP metabolic process (GO:0006739)	4	1	1.01	-	.99	7.31E-01
polysaccharide metabolic process (GO:0005976)	8	2	2.03	-	.99	6.69E-01
aromatic amino acid family metabolic process (GO:0009072)	16	4	4.06	-	.99	6.18E-01
signal transduction (GO:0007165)	4	1	1.01	-	.99	7.31E-01
protein processing (GO:0016485)	4	1	1.01	-	.99	7.31E-01
macromolecule methylation (GO:0043414)	4	1	1.01	-	.99	7.31E-01
anatomical structure morphogenesis (GO:0009653)	4	1	1.01	-	.99	7.31E-01
transmembrane transport (GO:0055085)	44	11	11.15	-	.99	5.60E-01
developmental process (GO:0032502)	4	1	1.01	-	.99	7.31E-01
acyl-CoA metabolic process (GO:0006637)	4	1	1.01	-	.99	7.31E-01
response to oxidative stress (GO:0006979)	4	1	1.01	-	.99	7.31E-01
anatomical structure development (GO:0048856)	4	1	1.01	-	.99	7.31E-01
purine-containing compound biosynthetic process (GO:0072522)	28	7	7.10	-	.99	5.84E-01
pyridine nucleotide biosynthetic process (GO:0019363)	4	1	1.01	-	.99	7.31E-01
pyridine nucleotide metabolic process (GO:0019362)	4	1	1.01	-	.99	7.31E-01
nicotinamide nucleotide biosynthetic process (GO:0019359)	4	1	1.01	-	.99	7.31E-01
establishment of localization (GO:0051234)	56	14	14.20	-	.99	5.49E-01
riboflavin biosynthetic process (GO:0009231)	4	1	1.01	-	.99	7.31E-01
organic substance transport (GO:0071702)	16	4	4.06	-	.99	6.18E-01
nucleobase-containing compound catabolic process (GO:0034655)	4	1	1.01	-	.99	7.31E-01
regulation of catalytic activity (GO:0050790)	4	1	1.01	-	.99	7.31E-01
DNA-dependent DNA replication (GO:0006261)	8	2	2.03	-	.99	6.69E-01
regulation of molecular function (GO:0065009)	4	1	1.01	-	.99	7.31E-01
RNA biosynthetic process (GO:0032774)	8	2	2.03	-	.99	6.69E-01
transport (GO:0006810)	56	14	14.20	-	.99	5.49E-01
ion transmembrane transport (GO:0034220)	20	5	5.07	-	.99	6.03E-01
small molecule metabolic process (GO:0044281)	188	47	47.66	-	.99	4.93E-01
inorganic ion transmembrane transport (GO:0098660)	20	5	5.07	-	.99	6.03E-01
nitrogen compound transport (GO:0071705)	20	5	5.07	-	.99	6.03E-01
organic substance biosynthetic process (GO:1901576)	262	65	66.42	-	.98	4.40E-01
organic acid metabolic process (GO:0006082)	129	32	32.70	-	.98	4.91E-01
cellular biosynthetic process (GO:0044249)	259	64	65.66	-	.97	4.24E-01
nucleic acid metabolic process (GO:0090304)	77	19	19.52	-	.97	5.10E-01
biosynthetic process (GO:0009058)	268	66	67.94	-	.97	4.05E-01
biological regulation (GO:0065007)	53	13	13.44	-	.97	5.23E-01
carbohydrate metabolic process (GO:0005975)	37	9	9.38	-	.96	5.36E-01
purine ribonucleotide metabolic process (GO:0009150)	33	8	8.37	-	.96	5.40E-01
carboxylic acid metabolic process (GO:0019752)	120	29	30.42	-	.95	4.33E-01
localization (GO:0051179)	58	14	14.70	-	.95	4.92E-01
carbohydrate derivative biosynthetic process (GO:1901137)	58	14	14.70	-	.95	4.92E-01
regulation of cellular process (GO:0050794)	29	7	7.35	-	.95	5.45E-01
gene expression (GO:0010467)	79	19	20.03	-	.95	4.61E-01
carboxylic acid biosynthetic process (GO:0046394)	67	16	16.99	-	.94	4.63E-01
macromolecule metabolic process (GO:0043170)	172	41	43.61	-	.94	3.55E-01
regulation of cellular metabolic process (GO:0031323)	21	5	5.32	-	.94	5.58E-01
oxoacid metabolic process (GO:0043436)	126	30	31.94	-	.94	3.93E-01
cellular respiration (GO:0045333)	17	4	4.31	-	.93	5.68E-01
cellular protein modification process (GO:0006464)	30	7	7.61	-	.92	5.07E-01
protein modification process (GO:0036211)	30	7	7.61	-	.92	5.07E-01
peptide metabolic process (GO:0006518)	56	13	14.20	-	.92	4.37E-01
organic acid biosynthetic process (GO:0016053)	69	16	17.49	-	.91	4.12E-01
cellular protein metabolic process (GO:0044267)	82	19	20.79	-	.91	3.90E-01
cellular macromolecule biosynthetic process (GO:0034645)	82	19	20.79	-	.91	3.90E-01
peptidoglycan metabolic process (GO:0000270)	13	3	3.30	-	.91	5.81E-01
purine ribonucleotide biosynthetic process (GO:0009152)	26	6	6.59	-	.91	5.10E-01
phospholipid biosynthetic process (GO:0008654)	13	3	3.30	-	.91	5.81E-01
cell wall organization (GO:0071555)	13	3	3.30	-	.91	5.81E-01
cell wall organization or biogenesis (GO:0071554)	13	3	3.30	-	.91	5.81E-01
aerobic respiration (GO:0009060)	13	3	3.30	-	.91	5.81E-01
aminoglycan metabolic process (GO:0006022)	13	3	3.30	-	.91	5.81E-01
phospholipid metabolic process (GO:0006644)	13	3	3.30	-	.91	5.81E-01
external encapsulating structure organization (GO:0045229)	13	3	3.30	-	.91	5.81E-01
glycosaminoglycan metabolic process (GO:0030203)	13	3	3.30	-	.91	5.81E-01
regulation of biological quality (GO:0065008)	22	5	5.58	-	.90	5.14E-01
peptide biosynthetic process (GO:0043043)	53	12	13.44	-	.89	4.08E-01
macromolecule biosynthetic process (GO:0009059)	84	19	21.30	-	.89	3.45E-01
protein metabolic process (GO:0019538)	99	22	25.10	-	.88	2.90E-01
methylation (GO:0032259)	9	2	2.28	-	.88	6.00E-01
photosynthesis, light reaction (GO:0019684)	18	4	4.56	-	.88	5.18E-01
cobalamin biosynthetic process (GO:0009236)	9	2	2.28	-	.88	6.00E-01
cobalamin metabolic process (GO:0009235)	9	2	2.28	-	.88	6.00E-01
cellular amide metabolic process (GO:0043603)	68	15	17.24	-	.87	3.37E-01
carbohydrate derivative metabolic process (GO:1901135)	73	16	18.51	-	.86	3.17E-01
amide biosynthetic process (GO:0043604)	64	14	16.23	-	.86	3.35E-01
translation (GO:0006412)	51	11	12.93	-	.85	3.51E-01
small molecule biosynthetic process (GO:0044283)	102	22	25.86	-	.85	2.36E-01
Unclassified (UNCLASSIFIED)	47	10	11.92	-	.84	3.47E-01
generation of precursor metabolites and energy (GO:0006091)	66	14	16.73	-	.84	2.88E-01
sulfur compound biosynthetic process (GO:0044272)	19	4	4.82	-	.83	4.71E-01
sulfur compound metabolic process (GO:0006790)	24	5	6.08	-	.82	4.28E-01
water-soluble vitamin biosynthetic process (GO:0042364)	24	5	6.08	-	.82	4.28E-01
macromolecule modification (GO:0043412)	39	8	9.89	-	.81	3.38E-01
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	15	3	3.80	-	.79	4.71E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	3	3.80	-	.79	4.71E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	15	3	3.80	-	.79	4.71E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	15	3	3.80	-	.79	4.71E-01
water-soluble vitamin metabolic process (GO:0006767)	25	5	6.34	-	.79	3.88E-01
organelle organization (GO:0006996)	15	3	3.80	-	.79	4.71E-01
inorganic cation transmembrane transport (GO:0098662)	15	3	3.80	-	.79	4.71E-01
cation transmembrane transport (GO:0098655)	15	3	3.80	-	.79	4.71E-01
cell cycle (GO:0007049)	15	3	3.80	-	.79	4.71E-01
monocarboxylic acid metabolic process (GO:0032787)	30	6	7.61	-	.79	3.58E-01
polysaccharide biosynthetic process (GO:0000271)	5	1	1.27	-	.79	6.38E-01
electron transport chain (GO:0022900)	40	8	10.14	-	.79	3.09E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	5	1	1.27	-	.79	6.38E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	5	1	1.27	-	.79	6.38E-01
nucleoside metabolic process (GO:0009116)	5	1	1.27	-	.79	6.38E-01
nitrate assimilation (GO:0042128)	5	1	1.27	-	.79	6.38E-01
nitrate metabolic process (GO:0042126)	5	1	1.27	-	.79	6.38E-01
chorismate biosynthetic process (GO:0009423)	5	1	1.27	-	.79	6.38E-01
reactive nitrogen species metabolic process (GO:2001057)	5	1	1.27	-	.79	6.38E-01
tRNA aminoacylation for protein translation (GO:0006418)	20	4	5.07	-	.79	4.25E-01
ATP biosynthetic process (GO:0006754)	5	1	1.27	-	.79	6.38E-01
valine biosynthetic process (GO:0009099)	5	1	1.27	-	.79	6.38E-01
serine family amino acid biosynthetic process (GO:0009070)	5	1	1.27	-	.79	6.38E-01
macromolecule localization (GO:0033036)	10	2	2.54	-	.79	5.34E-01
pyruvate metabolic process (GO:0006090)	10	2	2.54	-	.79	5.34E-01
protein transport (GO:0015031)	10	2	2.54	-	.79	5.34E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	5	1	1.27	-	.79	6.38E-01
ATP synthesis coupled proton transport (GO:0015986)	5	1	1.27	-	.79	6.38E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	5	1	1.27	-	.79	6.38E-01
glycosyl compound metabolic process (GO:1901657)	5	1	1.27	-	.79	6.38E-01
sulfur amino acid biosynthetic process (GO:0000097)	5	1	1.27	-	.79	6.38E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	5	1	1.27	-	.79	6.38E-01
tetrahydrofolate metabolic process (GO:0046653)	5	1	1.27	-	.79	6.38E-01
photosynthesis, dark reaction (GO:0019685)	5	1	1.27	-	.79	6.38E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	5	1	1.27	-	.79	6.38E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	5	1	1.27	-	.79	6.38E-01
protein localization (GO:0008104)	10	2	2.54	-	.79	5.34E-01
protein transport by the Sec complex (GO:0043952)	5	1	1.27	-	.79	6.38E-01
intracellular protein transmembrane transport (GO:0065002)	5	1	1.27	-	.79	6.38E-01
valine metabolic process (GO:0006573)	5	1	1.27	-	.79	6.38E-01
negative regulation of cellular metabolic process (GO:0031324)	5	1	1.27	-	.79	6.38E-01
establishment of protein localization (GO:0045184)	10	2	2.54	-	.79	5.34E-01
vitamin biosynthetic process (GO:0009110)	26	5	6.59	-	.76	3.51E-01
tRNA aminoacylation (GO:0043039)	21	4	5.32	-	.75	3.82E-01
amino acid activation (GO:0043038)	21	4	5.32	-	.75	3.82E-01
cell division (GO:0051301)	16	3	4.06	-	.74	4.20E-01
vitamin metabolic process (GO:0006766)	27	5	6.85	-	.73	3.15E-01
fatty acid metabolic process (GO:0006631)	11	2	2.79	-	.72	4.70E-01
protein-chromophore linkage (GO:0018298)	11	2	2.79	-	.72	4.70E-01
RNA metabolic process (GO:0016070)	44	8	11.15	-	.72	2.08E-01
DNA replication (GO:0006260)	11	2	2.79	-	.72	4.70E-01
proton transmembrane transport (GO:1902600)	11	2	2.79	-	.72	4.70E-01
cation transport (GO:0006812)	17	3	4.31	-	.70	3.72E-01
cellular ketone metabolic process (GO:0042180)	6	1	1.52	-	.66	5.50E-01
'de novo' IMP biosynthetic process (GO:0006189)	12	2	3.04	-	.66	4.11E-01
IMP biosynthetic process (GO:0006188)	12	2	3.04	-	.66	4.11E-01
folic acid-containing compound metabolic process (GO:0006760)	6	1	1.52	-	.66	5.50E-01
isoleucine biosynthetic process (GO:0009097)	6	1	1.52	-	.66	5.50E-01
aspartate family amino acid metabolic process (GO:0009066)	12	2	3.04	-	.66	4.11E-01
chorismate metabolic process (GO:0046417)	6	1	1.52	-	.66	5.50E-01
protein transmembrane transport (GO:0071806)	6	1	1.52	-	.66	5.50E-01
establishment of localization in cell (GO:0051649)	6	1	1.52	-	.66	5.50E-01
negative regulation of cellular process (GO:0048523)	6	1	1.52	-	.66	5.50E-01
protein targeting (GO:0006605)	6	1	1.52	-	.66	5.50E-01
carbohydrate catabolic process (GO:0016052)	12	2	3.04	-	.66	4.11E-01
intracellular transport (GO:0046907)	6	1	1.52	-	.66	5.50E-01
isoleucine metabolic process (GO:0006549)	6	1	1.52	-	.66	5.50E-01
intracellular protein transport (GO:0006886)	6	1	1.52	-	.66	5.50E-01
cellular component organization (GO:0016043)	43	7	10.90	-	.64	1.40E-01
cellular lipid metabolic process (GO:0044255)	31	5	7.86	-	.64	1.97E-01
tRNA metabolic process (GO:0006399)	31	5	7.86	-	.64	1.97E-01
lipid metabolic process (GO:0006629)	31	5	7.86	-	.64	1.97E-01
lipid biosynthetic process (GO:0008610)	26	4	6.59	-	.61	2.07E-01
IMP metabolic process (GO:0046040)	13	2	3.30	-	.61	3.57E-01
dicarboxylic acid biosynthetic process (GO:0043650)	13	2	3.30	-	.61	3.57E-01
ncRNA metabolic process (GO:0034660)	34	5	8.62	-	.58	1.33E-01
cellular component organization or biogenesis (GO:0071840)	48	7	12.17	-	.58	7.34E-02
ribonucleoside triphosphate metabolic process (GO:0009199)	7	1	1.77	-	.56	4.69E-01
cellular macromolecule localization (GO:0070727)	7	1	1.77	-	.56	4.69E-01
cellular localization (GO:0051641)	7	1	1.77	-	.56	4.69E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	7	1	1.77	-	.56	4.69E-01
pteridine-containing compound metabolic process (GO:0042558)	7	1	1.77	-	.56	4.69E-01
cellular protein localization (GO:0034613)	7	1	1.77	-	.56	4.69E-01
RNA processing (GO:0006396)	15	2	3.80	-	.53	2.65E-01
proteolysis (GO:0006508)	15	2	3.80	-	.53	2.65E-01
cellular component biogenesis (GO:0044085)	31	4	7.86	-	.51	1.01E-01
